Date,Median_Listing_Price,Active_Listings,Permits_Annual,Population_Annual
2016-07-01,499945.0,1189.0,,
2016-08-01,492448.0,1188.0,,
2016-09-01,497413.0,1187.0,,
2016-10-01,485495.0,1154.0,,
2016-11-01,474900.0,1045.0,,
2016-12-01,469945.0,860.0,,
2017-01-01,489923.0,765.0,,
2017-02-01,499400.0,715.0,,
2017-03-01,524725.0,772.0,,
2017-04-01,537995.0,871.0,,
2017-05-01,525166.0,1002.0,,
2017-06-01,525000.0,1061.0,,
2017-07-01,519900.0,1071.0,,
2017-08-01,521175.0,1033.0,,
2017-09-01,499970.0,1014.0,,
2017-10-01,500000.0,982.0,,
2017-11-01,530198.0,943.0,,
2017-12-01,529000.0,745.0,,
2018-01-01,550000.0,632.0,,
2018-02-01,575000.0,592.0,,
2018-03-01,589000.0,643.0,,
2018-04-01,569500.0,759.0,,
2018-05-01,582450.0,857.0,,
2018-06-01,575000.0,926.0,,
2018-07-01,554825.0,983.0,,
2018-08-01,539200.0,980.0,,
2018-09-01,529900.0,982.0,,
2018-10-01,523995.0,985.0,,
2018-11-01,506195.0,912.0,,
2018-12-01,499450.0,792.0,,
2019-01-01,499450.0,673.0,,
2019-02-01,519500.0,627.0,,
2019-03-01,535286.0,686.0,,
2019-04-01,549225.0,806.0,,
2019-05-01,554725.0,890.0,,
2019-06-01,575000.0,931.0,,
2019-07-01,590973.0,918.0,,
2019-08-01,573609.0,893.0,,
2019-09-01,571523.0,855.0,,
2019-10-01,569900.0,818.0,,
2019-11-01,574900.0,741.0,,
2019-12-01,581250.0,569.0,,
2020-01-01,599950.0,459.0,,
2020-02-01,609000.0,431.0,,
2020-03-01,599450.0,489.0,,
2020-04-01,598075.0,519.0,,
2020-05-01,599990.0,591.0,,
2020-06-01,599998.0,573.0,,
2020-07-01,602449.0,508.0,,
2020-08-01,589900.0,442.0,,
2020-09-01,583725.0,428.0,,
2020-10-01,589000.0,403.0,,
2020-11-01,589823.0,348.0,,
2020-12-01,599675.0,293.0,,
2021-01-01,600000.0,231.0,,
2021-02-01,605748.0,194.0,,
2021-03-01,574350.0,218.0,,
2021-04-01,583750.0,242.0,,
2021-05-01,569900.0,279.0,,
2021-06-01,541225.0,320.0,,
2021-07-01,539900.0,356.0,,
2021-08-01,539500.0,359.0,,
2021-09-01,529000.0,355.0,,
2021-10-01,549450.0,325.0,,
2021-11-01,536250.0,270.0,,
2021-12-01,557500.0,180.0,,
2022-01-01,580000.0,144.0,,
2022-02-01,577020.0,138.0,,
2022-03-01,575000.0,164.0,,
2022-04-01,575000.0,189.0,,
2022-05-01,609750.0,224.0,,
2022-06-01,627000.0,280.0,,
2022-07-01,625000.0,304.0,,
2022-08-01,599995.0,351.0,,
2022-09-01,600000.0,318.0,,
2022-10-01,600000.0,318.0,,
2022-11-01,599498.0,302.0,,
2022-12-01,599995.0,247.0,,
2023-01-01,637450.0,207.0,,
2023-02-01,652250.0,177.0,,
2023-03-01,646998.0,179.0,,
2023-04-01,645900.0,179.0,,
2023-05-01,674250.0,182.0,,
2023-06-01,686950.0,201.0,,
2023-07-01,677500.0,207.0,,
2023-08-01,650000.0,209.0,,
2023-09-01,639900.0,231.0,,
2023-10-01,649900.0,226.0,,
2023-11-01,610448.0,239.0,,
2023-12-01,612000.0,207.0,,
2024-01-01,672498.0,171.0,,
2024-02-01,704720.0,173.0,,
2024-03-01,720000.0,163.0,,
2024-04-01,734950.0,194.0,,
2024-05-01,718691.0,203.0,,
2024-06-01,699000.0,222.0,,
2024-07-01,681250.0,256.0,,
2024-08-01,650000.0,254.0,,
2024-09-01,614975.0,277.0,,
2024-10-01,622450.0,336.0,,
2024-11-01,604888.0,288.0,,
2024-12-01,604495.0,205.0,,
2025-01-01,561225.0,206.0,,
2025-02-01,555998.0,217.0,,
2025-03-01,620000.0,303.0,,
2025-04-01,647475.0,366.0,,
2025-05-01,695000.0,423.0,,
2025-06-01,692450.0,449.0,,
2025-07-01,680000.0,478.0,,
2025-08-01,669950.0,511.0,,
2025-09-01,649450.0,503.0,,
