series_id,year,month,date,value,footnotes
LAUCN240010000000004,2014,December,2014-12-01,2314,
LAUCN240010000000004,2014,November,2014-11-01,2184,
LAUCN240010000000004,2014,October,2014-10-01,2193,
LAUCN240010000000004,2014,September,2014-09-01,2192,
LAUCN240010000000004,2014,August,2014-08-01,2469,
LAUCN240010000000004,2014,July,2014-07-01,2644,
LAUCN240010000000004,2014,June,2014-06-01,2595,
LAUCN240010000000004,2014,May,2014-05-01,2375,
LAUCN240010000000004,2014,April,2014-04-01,2309,
LAUCN240010000000004,2014,March,2014-03-01,2774,
LAUCN240010000000004,2014,February,2014-02-01,3017,
LAUCN240010000000004,2014,January,2014-01-01,2975,
LAUCN240010000000004,2013,December,2013-12-01,2577,
LAUCN240010000000004,2013,November,2013-11-01,2565,
LAUCN240010000000004,2013,October,2013-10-01,2537,
LAUCN240010000000004,2013,September,2013-09-01,2578,
LAUCN240010000000004,2013,August,2013-08-01,2808,
LAUCN240010000000004,2013,July,2013-07-01,2953,
LAUCN240010000000004,2013,June,2013-06-01,3016,
LAUCN240010000000004,2013,May,2013-05-01,2813,
LAUCN240010000000004,2013,April,2013-04-01,2779,
LAUCN240010000000004,2013,March,2013-03-01,3053,
LAUCN240010000000004,2013,February,2013-02-01,3268,
LAUCN240010000000004,2013,January,2013-01-01,3474,
LAUCN240010000000004,2012,December,2012-12-01,2925,
LAUCN240010000000004,2012,November,2012-11-01,2743,
LAUCN240010000000004,2012,October,2012-10-01,2771,
LAUCN240010000000004,2012,September,2012-09-01,2670,
LAUCN240010000000004,2012,August,2012-08-01,2944,
LAUCN240010000000004,2012,July,2012-07-01,3135,
LAUCN240010000000004,2012,June,2012-06-01,3184,
LAUCN240010000000004,2012,May,2012-05-01,2874,
LAUCN240010000000004,2012,April,2012-04-01,2802,
LAUCN240010000000004,2012,March,2012-03-01,3124,
LAUCN240010000000004,2012,February,2012-02-01,3325,
LAUCN240010000000004,2012,January,2012-01-01,3371,
LAUCN240010000000004,2011,December,2011-12-01,2955,
LAUCN240010000000004,2011,November,2011-11-01,2738,
LAUCN240010000000004,2011,October,2011-10-01,2869,
LAUCN240010000000004,2011,September,2011-09-01,2917,
LAUCN240010000000004,2011,August,2011-08-01,3046,
LAUCN240010000000004,2011,July,2011-07-01,3163,
LAUCN240010000000004,2011,June,2011-06-01,3258,
LAUCN240010000000004,2011,May,2011-05-01,2942,
LAUCN240010000000004,2011,April,2011-04-01,2909,
LAUCN240010000000004,2011,March,2011-03-01,3265,
LAUCN240010000000004,2011,February,2011-02-01,3562,
LAUCN240010000000004,2011,January,2011-01-01,3605,
