series_id,year,month,date,value,footnotes
LAUCN240030000000005,2014,December,2014-12-01,286540,
LAUCN240030000000005,2014,November,2014-11-01,286685,
LAUCN240030000000005,2014,October,2014-10-01,287217,
LAUCN240030000000005,2014,September,2014-09-01,284635,
LAUCN240030000000005,2014,August,2014-08-01,285143,
LAUCN240030000000005,2014,July,2014-07-01,287012,
LAUCN240030000000005,2014,June,2014-06-01,286029,
LAUCN240030000000005,2014,May,2014-05-01,284562,
LAUCN240030000000005,2014,April,2014-04-01,284285,
LAUCN240030000000005,2014,March,2014-03-01,282485,
LAUCN240030000000005,2014,February,2014-02-01,279766,
LAUCN240030000000005,2014,January,2014-01-01,279283,
LAUCN240030000000005,2013,December,2013-12-01,281333,
LAUCN240030000000005,2013,November,2013-11-01,281612,
LAUCN240030000000005,2013,October,2013-10-01,280827,
LAUCN240030000000005,2013,September,2013-09-01,281185,
LAUCN240030000000005,2013,August,2013-08-01,281472,
LAUCN240030000000005,2013,July,2013-07-01,284063,
LAUCN240030000000005,2013,June,2013-06-01,283199,
LAUCN240030000000005,2013,May,2013-05-01,282029,
LAUCN240030000000005,2013,April,2013-04-01,281441,
LAUCN240030000000005,2013,March,2013-03-01,280750,
LAUCN240030000000005,2013,February,2013-02-01,278600,
LAUCN240030000000005,2013,January,2013-01-01,278102,
LAUCN240030000000005,2012,December,2012-12-01,279812,
LAUCN240030000000005,2012,November,2012-11-01,279581,
LAUCN240030000000005,2012,October,2012-10-01,280570,
LAUCN240030000000005,2012,September,2012-09-01,277982,
LAUCN240030000000005,2012,August,2012-08-01,277202,
LAUCN240030000000005,2012,July,2012-07-01,279280,
LAUCN240030000000005,2012,June,2012-06-01,277870,
LAUCN240030000000005,2012,May,2012-05-01,276972,
LAUCN240030000000005,2012,April,2012-04-01,276225,
LAUCN240030000000005,2012,March,2012-03-01,275833,
LAUCN240030000000005,2012,February,2012-02-01,273230,
LAUCN240030000000005,2012,January,2012-01-01,272507,
LAUCN240030000000005,2011,December,2011-12-01,274514,
LAUCN240030000000005,2011,November,2011-11-01,274264,
LAUCN240030000000005,2011,October,2011-10-01,273766,
LAUCN240030000000005,2011,September,2011-09-01,271175,
LAUCN240030000000005,2011,August,2011-08-01,271488,
LAUCN240030000000005,2011,July,2011-07-01,272752,
LAUCN240030000000005,2011,June,2011-06-01,271660,
LAUCN240030000000005,2011,May,2011-05-01,271372,
LAUCN240030000000005,2011,April,2011-04-01,270995,
LAUCN240030000000005,2011,March,2011-03-01,270110,
LAUCN240030000000005,2011,February,2011-02-01,266840,
LAUCN240030000000005,2011,January,2011-01-01,266616,
