series_id,year,month,date,value,footnotes
LAUCN240030000000006,2014,December,2014-12-01,299546,
LAUCN240030000000006,2014,November,2014-11-01,300515,
LAUCN240030000000006,2014,October,2014-10-01,301242,
LAUCN240030000000006,2014,September,2014-09-01,298784,
LAUCN240030000000006,2014,August,2014-08-01,301083,
LAUCN240030000000006,2014,July,2014-07-01,303503,
LAUCN240030000000006,2014,June,2014-06-01,301931,
LAUCN240030000000006,2014,May,2014-05-01,299425,
LAUCN240030000000006,2014,April,2014-04-01,297912,
LAUCN240030000000006,2014,March,2014-03-01,298306,
LAUCN240030000000006,2014,February,2014-02-01,295699,
LAUCN240030000000006,2014,January,2014-01-01,294898,
LAUCN240030000000006,2013,December,2013-12-01,295552,
LAUCN240030000000006,2013,November,2013-11-01,296837,
LAUCN240030000000006,2013,October,2013-10-01,297374,
LAUCN240030000000006,2013,September,2013-09-01,297576,
LAUCN240030000000006,2013,August,2013-08-01,298900,
LAUCN240030000000006,2013,July,2013-07-01,302248,
LAUCN240030000000006,2013,June,2013-06-01,302066,
LAUCN240030000000006,2013,May,2013-05-01,299314,
LAUCN240030000000006,2013,April,2013-04-01,297522,
LAUCN240030000000006,2013,March,2013-03-01,298050,
LAUCN240030000000006,2013,February,2013-02-01,296463,
LAUCN240030000000006,2013,January,2013-01-01,296445,
LAUCN240030000000006,2012,December,2012-12-01,296464,
LAUCN240030000000006,2012,November,2012-11-01,295866,
LAUCN240030000000006,2012,October,2012-10-01,297395,
LAUCN240030000000006,2012,September,2012-09-01,294616,
LAUCN240030000000006,2012,August,2012-08-01,295606,
LAUCN240030000000006,2012,July,2012-07-01,298193,
LAUCN240030000000006,2012,June,2012-06-01,296711,
LAUCN240030000000006,2012,May,2012-05-01,294067,
LAUCN240030000000006,2012,April,2012-04-01,292451,
LAUCN240030000000006,2012,March,2012-03-01,293518,
LAUCN240030000000006,2012,February,2012-02-01,291519,
LAUCN240030000000006,2012,January,2012-01-01,290540,
LAUCN240030000000006,2011,December,2011-12-01,291305,
LAUCN240030000000006,2011,November,2011-11-01,290988,
LAUCN240030000000006,2011,October,2011-10-01,291789,
LAUCN240030000000006,2011,September,2011-09-01,289776,
LAUCN240030000000006,2011,August,2011-08-01,290921,
LAUCN240030000000006,2011,July,2011-07-01,292461,
LAUCN240030000000006,2011,June,2011-06-01,291468,
LAUCN240030000000006,2011,May,2011-05-01,289320,
LAUCN240030000000006,2011,April,2011-04-01,288252,
LAUCN240030000000006,2011,March,2011-03-01,288575,
LAUCN240030000000006,2011,February,2011-02-01,285699,
LAUCN240030000000006,2011,January,2011-01-01,285936,
