series_id,year,month,date,value,footnotes
LAUCN240030000000004,2014,December,2014-12-01,13006,
LAUCN240030000000004,2014,November,2014-11-01,13830,
LAUCN240030000000004,2014,October,2014-10-01,14025,
LAUCN240030000000004,2014,September,2014-09-01,14149,
LAUCN240030000000004,2014,August,2014-08-01,15940,
LAUCN240030000000004,2014,July,2014-07-01,16491,
LAUCN240030000000004,2014,June,2014-06-01,15902,
LAUCN240030000000004,2014,May,2014-05-01,14863,
LAUCN240030000000004,2014,April,2014-04-01,13627,
LAUCN240030000000004,2014,March,2014-03-01,15821,
LAUCN240030000000004,2014,February,2014-02-01,15933,
LAUCN240030000000004,2014,January,2014-01-01,15615,
LAUCN240030000000004,2013,December,2013-12-01,14219,
LAUCN240030000000004,2013,November,2013-11-01,15225,
LAUCN240030000000004,2013,October,2013-10-01,16547,
LAUCN240030000000004,2013,September,2013-09-01,16391,
LAUCN240030000000004,2013,August,2013-08-01,17428,
LAUCN240030000000004,2013,July,2013-07-01,18185,
LAUCN240030000000004,2013,June,2013-06-01,18867,
LAUCN240030000000004,2013,May,2013-05-01,17285,
LAUCN240030000000004,2013,April,2013-04-01,16081,
LAUCN240030000000004,2013,March,2013-03-01,17300,
LAUCN240030000000004,2013,February,2013-02-01,17863,
LAUCN240030000000004,2013,January,2013-01-01,18343,
LAUCN240030000000004,2012,December,2012-12-01,16652,
LAUCN240030000000004,2012,November,2012-11-01,16285,
LAUCN240030000000004,2012,October,2012-10-01,16825,
LAUCN240030000000004,2012,September,2012-09-01,16634,
LAUCN240030000000004,2012,August,2012-08-01,18404,
LAUCN240030000000004,2012,July,2012-07-01,18913,
LAUCN240030000000004,2012,June,2012-06-01,18841,
LAUCN240030000000004,2012,May,2012-05-01,17095,
LAUCN240030000000004,2012,April,2012-04-01,16226,
LAUCN240030000000004,2012,March,2012-03-01,17685,
LAUCN240030000000004,2012,February,2012-02-01,18289,
LAUCN240030000000004,2012,January,2012-01-01,18033,
LAUCN240030000000004,2011,December,2011-12-01,16791,
LAUCN240030000000004,2011,November,2011-11-01,16724,
LAUCN240030000000004,2011,October,2011-10-01,18023,
LAUCN240030000000004,2011,September,2011-09-01,18601,
LAUCN240030000000004,2011,August,2011-08-01,19433,
LAUCN240030000000004,2011,July,2011-07-01,19709,
LAUCN240030000000004,2011,June,2011-06-01,19808,
LAUCN240030000000004,2011,May,2011-05-01,17948,
LAUCN240030000000004,2011,April,2011-04-01,17257,
LAUCN240030000000004,2011,March,2011-03-01,18465,
LAUCN240030000000004,2011,February,2011-02-01,18859,
LAUCN240030000000004,2011,January,2011-01-01,19320,
