series_id,year,month,date,value,footnotes
LAUCN245100000000005,2014,December,2014-12-01,272816,
LAUCN245100000000005,2014,November,2014-11-01,272818,
LAUCN245100000000005,2014,October,2014-10-01,273266,
LAUCN245100000000005,2014,September,2014-09-01,270950,
LAUCN245100000000005,2014,August,2014-08-01,271394,
LAUCN245100000000005,2014,July,2014-07-01,273170,
LAUCN245100000000005,2014,June,2014-06-01,272261,
LAUCN245100000000005,2014,May,2014-05-01,271204,
LAUCN245100000000005,2014,April,2014-04-01,270879,
LAUCN245100000000005,2014,March,2014-03-01,268900,
LAUCN245100000000005,2014,February,2014-02-01,266337,
LAUCN245100000000005,2014,January,2014-01-01,265698,
LAUCN245100000000005,2013,December,2013-12-01,269248,
LAUCN245100000000005,2013,November,2013-11-01,269518,
LAUCN245100000000005,2013,October,2013-10-01,268904,
LAUCN245100000000005,2013,September,2013-09-01,269164,
LAUCN245100000000005,2013,August,2013-08-01,269471,
LAUCN245100000000005,2013,July,2013-07-01,272013,
LAUCN245100000000005,2013,June,2013-06-01,271157,
LAUCN245100000000005,2013,May,2013-05-01,270423,
LAUCN245100000000005,2013,April,2013-04-01,269934,
LAUCN245100000000005,2013,March,2013-03-01,269175,
LAUCN245100000000005,2013,February,2013-02-01,267042,
LAUCN245100000000005,2013,January,2013-01-01,266412,
LAUCN245100000000005,2012,December,2012-12-01,270596,
LAUCN245100000000005,2012,November,2012-11-01,270302,
LAUCN245100000000005,2012,October,2012-10-01,271408,
LAUCN245100000000005,2012,September,2012-09-01,268610,
LAUCN245100000000005,2012,August,2012-08-01,267993,
LAUCN245100000000005,2012,July,2012-07-01,269751,
LAUCN245100000000005,2012,June,2012-06-01,268204,
LAUCN245100000000005,2012,May,2012-05-01,268061,
LAUCN245100000000005,2012,April,2012-04-01,267592,
LAUCN245100000000005,2012,March,2012-03-01,267056,
LAUCN245100000000005,2012,February,2012-02-01,264522,
LAUCN245100000000005,2012,January,2012-01-01,263784,
LAUCN245100000000005,2011,December,2011-12-01,267495,
LAUCN245100000000005,2011,November,2011-11-01,267053,
LAUCN245100000000005,2011,October,2011-10-01,266666,
LAUCN245100000000005,2011,September,2011-09-01,264095,
LAUCN245100000000005,2011,August,2011-08-01,264466,
LAUCN245100000000005,2011,July,2011-07-01,265613,
LAUCN245100000000005,2011,June,2011-06-01,264551,
LAUCN245100000000005,2011,May,2011-05-01,264658,
LAUCN245100000000005,2011,April,2011-04-01,264423,
LAUCN245100000000005,2011,March,2011-03-01,263387,
LAUCN245100000000005,2011,February,2011-02-01,260176,
LAUCN245100000000005,2011,January,2011-01-01,259991,
