series_id,year,month,date,value,footnotes
LAUCN245100000000006,2014,December,2014-12-01,295354,
LAUCN245100000000006,2014,November,2014-11-01,296121,
LAUCN245100000000006,2014,October,2014-10-01,296487,
LAUCN245100000000006,2014,September,2014-09-01,294050,
LAUCN245100000000006,2014,August,2014-08-01,297920,
LAUCN245100000000006,2014,July,2014-07-01,300263,
LAUCN245100000000006,2014,June,2014-06-01,298257,
LAUCN245100000000006,2014,May,2014-05-01,295634,
LAUCN245100000000006,2014,April,2014-04-01,294060,
LAUCN245100000000006,2014,March,2014-03-01,294916,
LAUCN245100000000006,2014,February,2014-02-01,292895,
LAUCN245100000000006,2014,January,2014-01-01,292478,
LAUCN245100000000006,2013,December,2013-12-01,294277,
LAUCN245100000000006,2013,November,2013-11-01,295810,
LAUCN245100000000006,2013,October,2013-10-01,296512,
LAUCN245100000000006,2013,September,2013-09-01,296627,
LAUCN245100000000006,2013,August,2013-08-01,298878,
LAUCN245100000000006,2013,July,2013-07-01,302645,
LAUCN245100000000006,2013,June,2013-06-01,301964,
LAUCN245100000000006,2013,May,2013-05-01,298844,
LAUCN245100000000006,2013,April,2013-04-01,297755,
LAUCN245100000000006,2013,March,2013-03-01,298577,
LAUCN245100000000006,2013,February,2013-02-01,297674,
LAUCN245100000000006,2013,January,2013-01-01,298618,
LAUCN245100000000006,2012,December,2012-12-01,299832,
LAUCN245100000000006,2012,November,2012-11-01,299026,
LAUCN245100000000006,2012,October,2012-10-01,300929,
LAUCN245100000000006,2012,September,2012-09-01,297704,
LAUCN245100000000006,2012,August,2012-08-01,299604,
LAUCN245100000000006,2012,July,2012-07-01,302252,
LAUCN245100000000006,2012,June,2012-06-01,299613,
LAUCN245100000000006,2012,May,2012-05-01,296729,
LAUCN245100000000006,2012,April,2012-04-01,295162,
LAUCN245100000000006,2012,March,2012-03-01,296548,
LAUCN245100000000006,2012,February,2012-02-01,294946,
LAUCN245100000000006,2012,January,2012-01-01,294247,
LAUCN245100000000006,2011,December,2011-12-01,296100,
LAUCN245100000000006,2011,November,2011-11-01,295937,
LAUCN245100000000006,2011,October,2011-10-01,297086,
LAUCN245100000000006,2011,September,2011-09-01,295059,
LAUCN245100000000006,2011,August,2011-08-01,297645,
LAUCN245100000000006,2011,July,2011-07-01,299529,
LAUCN245100000000006,2011,June,2011-06-01,298061,
LAUCN245100000000006,2011,May,2011-05-01,295391,
LAUCN245100000000006,2011,April,2011-04-01,294341,
LAUCN245100000000006,2011,March,2011-03-01,294938,
LAUCN245100000000006,2011,February,2011-02-01,292591,
LAUCN245100000000006,2011,January,2011-01-01,293199,
