series_id,year,month,date,value,footnotes
LAUCN245100000000004,2014,December,2014-12-01,22538,
LAUCN245100000000004,2014,November,2014-11-01,23303,
LAUCN245100000000004,2014,October,2014-10-01,23221,
LAUCN245100000000004,2014,September,2014-09-01,23100,
LAUCN245100000000004,2014,August,2014-08-01,26526,
LAUCN245100000000004,2014,July,2014-07-01,27093,
LAUCN245100000000004,2014,June,2014-06-01,25996,
LAUCN245100000000004,2014,May,2014-05-01,24430,
LAUCN245100000000004,2014,April,2014-04-01,23181,
LAUCN245100000000004,2014,March,2014-03-01,26016,
LAUCN245100000000004,2014,February,2014-02-01,26558,
LAUCN245100000000004,2014,January,2014-01-01,26780,
LAUCN245100000000004,2013,December,2013-12-01,25029,
LAUCN245100000000004,2013,November,2013-11-01,26292,
LAUCN245100000000004,2013,October,2013-10-01,27608,
LAUCN245100000000004,2013,September,2013-09-01,27463,
LAUCN245100000000004,2013,August,2013-08-01,29407,
LAUCN245100000000004,2013,July,2013-07-01,30632,
LAUCN245100000000004,2013,June,2013-06-01,30807,
LAUCN245100000000004,2013,May,2013-05-01,28421,
LAUCN245100000000004,2013,April,2013-04-01,27821,
LAUCN245100000000004,2013,March,2013-03-01,29402,
LAUCN245100000000004,2013,February,2013-02-01,30632,
LAUCN245100000000004,2013,January,2013-01-01,32206,
LAUCN245100000000004,2012,December,2012-12-01,29236,
LAUCN245100000000004,2012,November,2012-11-01,28724,
LAUCN245100000000004,2012,October,2012-10-01,29521,
LAUCN245100000000004,2012,September,2012-09-01,29094,
LAUCN245100000000004,2012,August,2012-08-01,31611,
LAUCN245100000000004,2012,July,2012-07-01,32501,
LAUCN245100000000004,2012,June,2012-06-01,31409,
LAUCN245100000000004,2012,May,2012-05-01,28668,
LAUCN245100000000004,2012,April,2012-04-01,27570,
LAUCN245100000000004,2012,March,2012-03-01,29492,
LAUCN245100000000004,2012,February,2012-02-01,30424,
LAUCN245100000000004,2012,January,2012-01-01,30463,
LAUCN245100000000004,2011,December,2011-12-01,28605,
LAUCN245100000000004,2011,November,2011-11-01,28884,
LAUCN245100000000004,2011,October,2011-10-01,30420,
LAUCN245100000000004,2011,September,2011-09-01,30964,
LAUCN245100000000004,2011,August,2011-08-01,33179,
LAUCN245100000000004,2011,July,2011-07-01,33916,
LAUCN245100000000004,2011,June,2011-06-01,33510,
LAUCN245100000000004,2011,May,2011-05-01,30733,
LAUCN245100000000004,2011,April,2011-04-01,29918,
LAUCN245100000000004,2011,March,2011-03-01,31551,
LAUCN245100000000004,2011,February,2011-02-01,32415,
LAUCN245100000000004,2011,January,2011-01-01,33208,
