series_id,year,month,date,value,footnotes
LAUCN240050000000005,2014,December,2014-12-01,420756,
LAUCN240050000000005,2014,November,2014-11-01,420903,
LAUCN240050000000005,2014,October,2014-10-01,421627,
LAUCN240050000000005,2014,September,2014-09-01,417808,
LAUCN240050000000005,2014,August,2014-08-01,418577,
LAUCN240050000000005,2014,July,2014-07-01,421312,
LAUCN240050000000005,2014,June,2014-06-01,419897,
LAUCN240050000000005,2014,May,2014-05-01,417876,
LAUCN240050000000005,2014,April,2014-04-01,417419,
LAUCN240050000000005,2014,March,2014-03-01,414675,
LAUCN240050000000005,2014,February,2014-02-01,410734,
LAUCN240050000000005,2014,January,2014-01-01,410023,
LAUCN240050000000005,2013,December,2013-12-01,414294,
LAUCN240050000000005,2013,November,2013-11-01,414697,
LAUCN240050000000005,2013,October,2013-10-01,413529,
LAUCN240050000000005,2013,September,2013-09-01,413976,
LAUCN240050000000005,2013,August,2013-08-01,414410,
LAUCN240050000000005,2013,July,2013-07-01,418187,
LAUCN240050000000005,2013,June,2013-06-01,416936,
LAUCN240050000000005,2013,May,2013-05-01,415379,
LAUCN240050000000005,2013,April,2013-04-01,414519,
LAUCN240050000000005,2013,March,2013-03-01,413459,
LAUCN240050000000005,2013,February,2013-02-01,410321,
LAUCN240050000000005,2013,January,2013-01-01,409605,
LAUCN240050000000005,2012,December,2012-12-01,413517,
LAUCN240050000000005,2012,November,2012-11-01,413132,
LAUCN240050000000005,2012,October,2012-10-01,414598,
LAUCN240050000000005,2012,September,2012-09-01,410599,
LAUCN240050000000005,2012,August,2012-08-01,409511,
LAUCN240050000000005,2012,July,2012-07-01,412413,
LAUCN240050000000005,2012,June,2012-06-01,410314,
LAUCN240050000000005,2012,May,2012-05-01,409298,
LAUCN240050000000005,2012,April,2012-04-01,408260,
LAUCN240050000000005,2012,March,2012-03-01,407609,
LAUCN240050000000005,2012,February,2012-02-01,403802,
LAUCN240050000000005,2012,January,2012-01-01,402780,
LAUCN240050000000005,2011,December,2011-12-01,407259,
LAUCN240050000000005,2011,November,2011-11-01,406829,
LAUCN240050000000005,2011,October,2011-10-01,406078,
LAUCN240050000000005,2011,September,2011-09-01,402125,
LAUCN240050000000005,2011,August,2011-08-01,402636,
LAUCN240050000000005,2011,July,2011-07-01,404467,
LAUCN240050000000005,2011,June,2011-06-01,402854,
LAUCN240050000000005,2011,May,2011-05-01,402618,
LAUCN240050000000005,2011,April,2011-04-01,402123,
LAUCN240050000000005,2011,March,2011-03-01,400707,
LAUCN240050000000005,2011,February,2011-02-01,395887,
LAUCN240050000000005,2011,January,2011-01-01,395589,
