series_id,year,month,date,value,footnotes
LAUCN240050000000004,2014,December,2014-12-01,23352,
LAUCN240050000000004,2014,November,2014-11-01,24615,
LAUCN240050000000004,2014,October,2014-10-01,25121,
LAUCN240050000000004,2014,September,2014-09-01,25327,
LAUCN240050000000004,2014,August,2014-08-01,28099,
LAUCN240050000000004,2014,July,2014-07-01,29135,
LAUCN240050000000004,2014,June,2014-06-01,28319,
LAUCN240050000000004,2014,May,2014-05-01,26553,
LAUCN240050000000004,2014,April,2014-04-01,24712,
LAUCN240050000000004,2014,March,2014-03-01,28160,
LAUCN240050000000004,2014,February,2014-02-01,28427,
LAUCN240050000000004,2014,January,2014-01-01,28015,
LAUCN240050000000004,2013,December,2013-12-01,25857,
LAUCN240050000000004,2013,November,2013-11-01,27359,
LAUCN240050000000004,2013,October,2013-10-01,29017,
LAUCN240050000000004,2013,September,2013-09-01,29241,
LAUCN240050000000004,2013,August,2013-08-01,30535,
LAUCN240050000000004,2013,July,2013-07-01,31994,
LAUCN240050000000004,2013,June,2013-06-01,33106,
LAUCN240050000000004,2013,May,2013-05-01,30866,
LAUCN240050000000004,2013,April,2013-04-01,29577,
LAUCN240050000000004,2013,March,2013-03-01,31841,
LAUCN240050000000004,2013,February,2013-02-01,33069,
LAUCN240050000000004,2013,January,2013-01-01,34226,
LAUCN240050000000004,2012,December,2012-12-01,30932,
LAUCN240050000000004,2012,November,2012-11-01,30410,
LAUCN240050000000004,2012,October,2012-10-01,31350,
LAUCN240050000000004,2012,September,2012-09-01,30949,
LAUCN240050000000004,2012,August,2012-08-01,33291,
LAUCN240050000000004,2012,July,2012-07-01,34540,
LAUCN240050000000004,2012,June,2012-06-01,34041,
LAUCN240050000000004,2012,May,2012-05-01,30907,
LAUCN240050000000004,2012,April,2012-04-01,29626,
LAUCN240050000000004,2012,March,2012-03-01,32037,
LAUCN240050000000004,2012,February,2012-02-01,33425,
LAUCN240050000000004,2012,January,2012-01-01,33307,
LAUCN240050000000004,2011,December,2011-12-01,30880,
LAUCN240050000000004,2011,November,2011-11-01,30924,
LAUCN240050000000004,2011,October,2011-10-01,32708,
LAUCN240050000000004,2011,September,2011-09-01,33481,
LAUCN240050000000004,2011,August,2011-08-01,34713,
LAUCN240050000000004,2011,July,2011-07-01,35453,
LAUCN240050000000004,2011,June,2011-06-01,35779,
LAUCN240050000000004,2011,May,2011-05-01,33035,
LAUCN240050000000004,2011,April,2011-04-01,32022,
LAUCN240050000000004,2011,March,2011-03-01,34102,
LAUCN240050000000004,2011,February,2011-02-01,35216,
LAUCN240050000000004,2011,January,2011-01-01,35786,
