series_id,year,month,date,value,footnotes
LAUCN240090000000005,2014,December,2014-12-01,45326,
LAUCN240090000000005,2014,November,2014-11-01,45412,
LAUCN240090000000005,2014,October,2014-10-01,45448,
LAUCN240090000000005,2014,September,2014-09-01,45086,
LAUCN240090000000005,2014,August,2014-08-01,44874,
LAUCN240090000000005,2014,July,2014-07-01,45560,
LAUCN240090000000005,2014,June,2014-06-01,45145,
LAUCN240090000000005,2014,May,2014-05-01,44950,
LAUCN240090000000005,2014,April,2014-04-01,44803,
LAUCN240090000000005,2014,March,2014-03-01,44901,
LAUCN240090000000005,2014,February,2014-02-01,44625,
LAUCN240090000000005,2014,January,2014-01-01,44308,
LAUCN240090000000005,2013,December,2013-12-01,45236,
LAUCN240090000000005,2013,November,2013-11-01,45352,
LAUCN240090000000005,2013,October,2013-10-01,45112,
LAUCN240090000000005,2013,September,2013-09-01,45132,
LAUCN240090000000005,2013,August,2013-08-01,45056,
LAUCN240090000000005,2013,July,2013-07-01,45733,
LAUCN240090000000005,2013,June,2013-06-01,45232,
LAUCN240090000000005,2013,May,2013-05-01,45293,
LAUCN240090000000005,2013,April,2013-04-01,45295,
LAUCN240090000000005,2013,March,2013-03-01,45203,
LAUCN240090000000005,2013,February,2013-02-01,44935,
LAUCN240090000000005,2013,January,2013-01-01,44610,
LAUCN240090000000005,2012,December,2012-12-01,45264,
LAUCN240090000000005,2012,November,2012-11-01,45336,
LAUCN240090000000005,2012,October,2012-10-01,45506,
LAUCN240090000000005,2012,September,2012-09-01,44983,
LAUCN240090000000005,2012,August,2012-08-01,44678,
LAUCN240090000000005,2012,July,2012-07-01,45253,
LAUCN240090000000005,2012,June,2012-06-01,44776,
LAUCN240090000000005,2012,May,2012-05-01,44800,
LAUCN240090000000005,2012,April,2012-04-01,44786,
LAUCN240090000000005,2012,March,2012-03-01,44929,
LAUCN240090000000005,2012,February,2012-02-01,44467,
LAUCN240090000000005,2012,January,2012-01-01,44126,
LAUCN240090000000005,2011,December,2011-12-01,44890,
LAUCN240090000000005,2011,November,2011-11-01,44912,
LAUCN240090000000005,2011,October,2011-10-01,44892,
LAUCN240090000000005,2011,September,2011-09-01,44540,
LAUCN240090000000005,2011,August,2011-08-01,44623,
LAUCN240090000000005,2011,July,2011-07-01,45021,
LAUCN240090000000005,2011,June,2011-06-01,44573,
LAUCN240090000000005,2011,May,2011-05-01,44552,
LAUCN240090000000005,2011,April,2011-04-01,44594,
LAUCN240090000000005,2011,March,2011-03-01,44793,
LAUCN240090000000005,2011,February,2011-02-01,44332,
LAUCN240090000000005,2011,January,2011-01-01,44121,
