series_id,year,month,date,value,footnotes
LAUCN240090000000004,2014,December,2014-12-01,2133,
LAUCN240090000000004,2014,November,2014-11-01,2233,
LAUCN240090000000004,2014,October,2014-10-01,2316,
LAUCN240090000000004,2014,September,2014-09-01,2348,
LAUCN240090000000004,2014,August,2014-08-01,2713,
LAUCN240090000000004,2014,July,2014-07-01,2865,
LAUCN240090000000004,2014,June,2014-06-01,2664,
LAUCN240090000000004,2014,May,2014-05-01,2479,
LAUCN240090000000004,2014,April,2014-04-01,2312,
LAUCN240090000000004,2014,March,2014-03-01,2642,
LAUCN240090000000004,2014,February,2014-02-01,2645,
LAUCN240090000000004,2014,January,2014-01-01,2560,
LAUCN240090000000004,2013,December,2013-12-01,2350,
LAUCN240090000000004,2013,November,2013-11-01,2523,
LAUCN240090000000004,2013,October,2013-10-01,2787,
LAUCN240090000000004,2013,September,2013-09-01,2697,
LAUCN240090000000004,2013,August,2013-08-01,2900,
LAUCN240090000000004,2013,July,2013-07-01,3123,
LAUCN240090000000004,2013,June,2013-06-01,3176,
LAUCN240090000000004,2013,May,2013-05-01,2927,
LAUCN240090000000004,2013,April,2013-04-01,2714,
LAUCN240090000000004,2013,March,2013-03-01,2884,
LAUCN240090000000004,2013,February,2013-02-01,2967,
LAUCN240090000000004,2013,January,2013-01-01,3070,
LAUCN240090000000004,2012,December,2012-12-01,2804,
LAUCN240090000000004,2012,November,2012-11-01,2740,
LAUCN240090000000004,2012,October,2012-10-01,2806,
LAUCN240090000000004,2012,September,2012-09-01,2757,
LAUCN240090000000004,2012,August,2012-08-01,3048,
LAUCN240090000000004,2012,July,2012-07-01,3299,
LAUCN240090000000004,2012,June,2012-06-01,3186,
LAUCN240090000000004,2012,May,2012-05-01,2924,
LAUCN240090000000004,2012,April,2012-04-01,2792,
LAUCN240090000000004,2012,March,2012-03-01,3038,
LAUCN240090000000004,2012,February,2012-02-01,3129,
LAUCN240090000000004,2012,January,2012-01-01,3057,
LAUCN240090000000004,2011,December,2011-12-01,2858,
LAUCN240090000000004,2011,November,2011-11-01,2891,
LAUCN240090000000004,2011,October,2011-10-01,3068,
LAUCN240090000000004,2011,September,2011-09-01,3159,
LAUCN240090000000004,2011,August,2011-08-01,3374,
LAUCN240090000000004,2011,July,2011-07-01,3435,
LAUCN240090000000004,2011,June,2011-06-01,3366,
LAUCN240090000000004,2011,May,2011-05-01,3062,
LAUCN240090000000004,2011,April,2011-04-01,2890,
LAUCN240090000000004,2011,March,2011-03-01,3093,
LAUCN240090000000004,2011,February,2011-02-01,3129,
LAUCN240090000000004,2011,January,2011-01-01,3192,
