series_id,year,month,date,value,footnotes
LAUCN240110000000005,2014,December,2014-12-01,16172,
LAUCN240110000000005,2014,November,2014-11-01,16308,
LAUCN240110000000005,2014,October,2014-10-01,16535,
LAUCN240110000000005,2014,September,2014-09-01,16425,
LAUCN240110000000005,2014,August,2014-08-01,16568,
LAUCN240110000000005,2014,July,2014-07-01,16724,
LAUCN240110000000005,2014,June,2014-06-01,16665,
LAUCN240110000000005,2014,May,2014-05-01,16314,
LAUCN240110000000005,2014,April,2014-04-01,16213,
LAUCN240110000000005,2014,March,2014-03-01,16585,
LAUCN240110000000005,2014,February,2014-02-01,16334,
LAUCN240110000000005,2014,January,2014-01-01,16465,
LAUCN240110000000005,2013,December,2013-12-01,16464,
LAUCN240110000000005,2013,November,2013-11-01,16453,
LAUCN240110000000005,2013,October,2013-10-01,16546,
LAUCN240110000000005,2013,September,2013-09-01,16729,
LAUCN240110000000005,2013,August,2013-08-01,16733,
LAUCN240110000000005,2013,July,2013-07-01,16985,
LAUCN240110000000005,2013,June,2013-06-01,16997,
LAUCN240110000000005,2013,May,2013-05-01,16561,
LAUCN240110000000005,2013,April,2013-04-01,16422,
LAUCN240110000000005,2013,March,2013-03-01,16363,
LAUCN240110000000005,2013,February,2013-02-01,16214,
LAUCN240110000000005,2013,January,2013-01-01,16113,
LAUCN240110000000005,2012,December,2012-12-01,16407,
LAUCN240110000000005,2012,November,2012-11-01,16450,
LAUCN240110000000005,2012,October,2012-10-01,16502,
LAUCN240110000000005,2012,September,2012-09-01,16685,
LAUCN240110000000005,2012,August,2012-08-01,16461,
LAUCN240110000000005,2012,July,2012-07-01,16969,
LAUCN240110000000005,2012,June,2012-06-01,16818,
LAUCN240110000000005,2012,May,2012-05-01,16128,
LAUCN240110000000005,2012,April,2012-04-01,15952,
LAUCN240110000000005,2012,March,2012-03-01,16020,
LAUCN240110000000005,2012,February,2012-02-01,15765,
LAUCN240110000000005,2012,January,2012-01-01,15661,
LAUCN240110000000005,2011,December,2011-12-01,15946,
LAUCN240110000000005,2011,November,2011-11-01,16072,
LAUCN240110000000005,2011,October,2011-10-01,16183,
LAUCN240110000000005,2011,September,2011-09-01,16144,
LAUCN240110000000005,2011,August,2011-08-01,16051,
LAUCN240110000000005,2011,July,2011-07-01,16262,
LAUCN240110000000005,2011,June,2011-06-01,16369,
LAUCN240110000000005,2011,May,2011-05-01,15963,
LAUCN240110000000005,2011,April,2011-04-01,15855,
LAUCN240110000000005,2011,March,2011-03-01,15882,
LAUCN240110000000005,2011,February,2011-02-01,15587,
LAUCN240110000000005,2011,January,2011-01-01,15534,
