series_id,year,month,date,value,footnotes
LAUCN240110000000006,2014,December,2014-12-01,17143,
LAUCN240110000000006,2014,November,2014-11-01,17292,
LAUCN240110000000006,2014,October,2014-10-01,17505,
LAUCN240110000000006,2014,September,2014-09-01,17389,
LAUCN240110000000006,2014,August,2014-08-01,17648,
LAUCN240110000000006,2014,July,2014-07-01,17866,
LAUCN240110000000006,2014,June,2014-06-01,17789,
LAUCN240110000000006,2014,May,2014-05-01,17359,
LAUCN240110000000006,2014,April,2014-04-01,17237,
LAUCN240110000000006,2014,March,2014-03-01,17770,
LAUCN240110000000006,2014,February,2014-02-01,17585,
LAUCN240110000000006,2014,January,2014-01-01,17691,
LAUCN240110000000006,2013,December,2013-12-01,17550,
LAUCN240110000000006,2013,November,2013-11-01,17571,
LAUCN240110000000006,2013,October,2013-10-01,17678,
LAUCN240110000000006,2013,September,2013-09-01,17852,
LAUCN240110000000006,2013,August,2013-08-01,17938,
LAUCN240110000000006,2013,July,2013-07-01,18255,
LAUCN240110000000006,2013,June,2013-06-01,18323,
LAUCN240110000000006,2013,May,2013-05-01,17784,
LAUCN240110000000006,2013,April,2013-04-01,17606,
LAUCN240110000000006,2013,March,2013-03-01,17646,
LAUCN240110000000006,2013,February,2013-02-01,17612,
LAUCN240110000000006,2013,January,2013-01-01,17531,
LAUCN240110000000006,2012,December,2012-12-01,17689,
LAUCN240110000000006,2012,November,2012-11-01,17672,
LAUCN240110000000006,2012,October,2012-10-01,17735,
LAUCN240110000000006,2012,September,2012-09-01,17901,
LAUCN240110000000006,2012,August,2012-08-01,17786,
LAUCN240110000000006,2012,July,2012-07-01,18355,
LAUCN240110000000006,2012,June,2012-06-01,18230,
LAUCN240110000000006,2012,May,2012-05-01,17429,
LAUCN240110000000006,2012,April,2012-04-01,17240,
LAUCN240110000000006,2012,March,2012-03-01,17468,
LAUCN240110000000006,2012,February,2012-02-01,17314,
LAUCN240110000000006,2012,January,2012-01-01,17213,
LAUCN240110000000006,2011,December,2011-12-01,17353,
LAUCN240110000000006,2011,November,2011-11-01,17475,
LAUCN240110000000006,2011,October,2011-10-01,17631,
LAUCN240110000000006,2011,September,2011-09-01,17617,
LAUCN240110000000006,2011,August,2011-08-01,17545,
LAUCN240110000000006,2011,July,2011-07-01,17799,
LAUCN240110000000006,2011,June,2011-06-01,17931,
LAUCN240110000000006,2011,May,2011-05-01,17407,
LAUCN240110000000006,2011,April,2011-04-01,17296,
LAUCN240110000000006,2011,March,2011-03-01,17495,
LAUCN240110000000006,2011,February,2011-02-01,17292,
LAUCN240110000000006,2011,January,2011-01-01,17259,
