series_id,year,month,date,value,footnotes
LAUCN240110000000004,2014,December,2014-12-01,971,
LAUCN240110000000004,2014,November,2014-11-01,984,
LAUCN240110000000004,2014,October,2014-10-01,970,
LAUCN240110000000004,2014,September,2014-09-01,964,
LAUCN240110000000004,2014,August,2014-08-01,1080,
LAUCN240110000000004,2014,July,2014-07-01,1142,
LAUCN240110000000004,2014,June,2014-06-01,1124,
LAUCN240110000000004,2014,May,2014-05-01,1045,
LAUCN240110000000004,2014,April,2014-04-01,1024,
LAUCN240110000000004,2014,March,2014-03-01,1185,
LAUCN240110000000004,2014,February,2014-02-01,1251,
LAUCN240110000000004,2014,January,2014-01-01,1226,
LAUCN240110000000004,2013,December,2013-12-01,1086,
LAUCN240110000000004,2013,November,2013-11-01,1118,
LAUCN240110000000004,2013,October,2013-10-01,1132,
LAUCN240110000000004,2013,September,2013-09-01,1123,
LAUCN240110000000004,2013,August,2013-08-01,1205,
LAUCN240110000000004,2013,July,2013-07-01,1270,
LAUCN240110000000004,2013,June,2013-06-01,1326,
LAUCN240110000000004,2013,May,2013-05-01,1223,
LAUCN240110000000004,2013,April,2013-04-01,1184,
LAUCN240110000000004,2013,March,2013-03-01,1283,
LAUCN240110000000004,2013,February,2013-02-01,1398,
LAUCN240110000000004,2013,January,2013-01-01,1418,
LAUCN240110000000004,2012,December,2012-12-01,1282,
LAUCN240110000000004,2012,November,2012-11-01,1222,
LAUCN240110000000004,2012,October,2012-10-01,1233,
LAUCN240110000000004,2012,September,2012-09-01,1216,
LAUCN240110000000004,2012,August,2012-08-01,1325,
LAUCN240110000000004,2012,July,2012-07-01,1386,
LAUCN240110000000004,2012,June,2012-06-01,1412,
LAUCN240110000000004,2012,May,2012-05-01,1301,
LAUCN240110000000004,2012,April,2012-04-01,1288,
LAUCN240110000000004,2012,March,2012-03-01,1448,
LAUCN240110000000004,2012,February,2012-02-01,1549,
LAUCN240110000000004,2012,January,2012-01-01,1552,
LAUCN240110000000004,2011,December,2011-12-01,1407,
LAUCN240110000000004,2011,November,2011-11-01,1403,
LAUCN240110000000004,2011,October,2011-10-01,1448,
LAUCN240110000000004,2011,September,2011-09-01,1473,
LAUCN240110000000004,2011,August,2011-08-01,1494,
LAUCN240110000000004,2011,July,2011-07-01,1537,
LAUCN240110000000004,2011,June,2011-06-01,1562,
LAUCN240110000000004,2011,May,2011-05-01,1444,
LAUCN240110000000004,2011,April,2011-04-01,1441,
LAUCN240110000000004,2011,March,2011-03-01,1613,
LAUCN240110000000004,2011,February,2011-02-01,1705,
LAUCN240110000000004,2011,January,2011-01-01,1725,
