series_id,year,month,date,value,footnotes
LAUCN240130000000005,2014,December,2014-12-01,89037,
LAUCN240130000000005,2014,November,2014-11-01,89337,
LAUCN240130000000005,2014,October,2014-10-01,89732,
LAUCN240130000000005,2014,September,2014-09-01,89153,
LAUCN240130000000005,2014,August,2014-08-01,89171,
LAUCN240130000000005,2014,July,2014-07-01,89801,
LAUCN240130000000005,2014,June,2014-06-01,89365,
LAUCN240130000000005,2014,May,2014-05-01,88467,
LAUCN240130000000005,2014,April,2014-04-01,88596,
LAUCN240130000000005,2014,March,2014-03-01,88375,
LAUCN240130000000005,2014,February,2014-02-01,87290,
LAUCN240130000000005,2014,January,2014-01-01,87034,
LAUCN240130000000005,2013,December,2013-12-01,88256,
LAUCN240130000000005,2013,November,2013-11-01,88397,
LAUCN240130000000005,2013,October,2013-10-01,88285,
LAUCN240130000000005,2013,September,2013-09-01,88735,
LAUCN240130000000005,2013,August,2013-08-01,88781,
LAUCN240130000000005,2013,July,2013-07-01,89818,
LAUCN240130000000005,2013,June,2013-06-01,89433,
LAUCN240130000000005,2013,May,2013-05-01,88488,
LAUCN240130000000005,2013,April,2013-04-01,88335,
LAUCN240130000000005,2013,March,2013-03-01,88263,
LAUCN240130000000005,2013,February,2013-02-01,87405,
LAUCN240130000000005,2013,January,2013-01-01,87066,
LAUCN240130000000005,2012,December,2012-12-01,88513,
LAUCN240130000000005,2012,November,2012-11-01,88601,
LAUCN240130000000005,2012,October,2012-10-01,88989,
LAUCN240130000000005,2012,September,2012-09-01,88837,
LAUCN240130000000005,2012,August,2012-08-01,88354,
LAUCN240130000000005,2012,July,2012-07-01,89675,
LAUCN240130000000005,2012,June,2012-06-01,89203,
LAUCN240130000000005,2012,May,2012-05-01,87840,
LAUCN240130000000005,2012,April,2012-04-01,87437,
LAUCN240130000000005,2012,March,2012-03-01,87573,
LAUCN240130000000005,2012,February,2012-02-01,86537,
LAUCN240130000000005,2012,January,2012-01-01,86058,
LAUCN240130000000005,2011,December,2011-12-01,87979,
LAUCN240130000000005,2011,November,2011-11-01,88074,
LAUCN240130000000005,2011,October,2011-10-01,88022,
LAUCN240130000000005,2011,September,2011-09-01,87702,
LAUCN240130000000005,2011,August,2011-08-01,87604,
LAUCN240130000000005,2011,July,2011-07-01,88183,
LAUCN240130000000005,2011,June,2011-06-01,87795,
LAUCN240130000000005,2011,May,2011-05-01,87005,
LAUCN240130000000005,2011,April,2011-04-01,86644,
LAUCN240130000000005,2011,March,2011-03-01,86761,
LAUCN240130000000005,2011,February,2011-02-01,85552,
LAUCN240130000000005,2011,January,2011-01-01,85335,
