series_id,year,month,date,value,footnotes
LAUCN240130000000006,2014,December,2014-12-01,92819,
LAUCN240130000000006,2014,November,2014-11-01,93288,
LAUCN240130000000006,2014,October,2014-10-01,93810,
LAUCN240130000000006,2014,September,2014-09-01,93197,
LAUCN240130000000006,2014,August,2014-08-01,93857,
LAUCN240130000000006,2014,July,2014-07-01,94746,
LAUCN240130000000006,2014,June,2014-06-01,94044,
LAUCN240130000000006,2014,May,2014-05-01,92727,
LAUCN240130000000006,2014,April,2014-04-01,92587,
LAUCN240130000000006,2014,March,2014-03-01,93199,
LAUCN240130000000006,2014,February,2014-02-01,92226,
LAUCN240130000000006,2014,January,2014-01-01,91803,
LAUCN240130000000006,2013,December,2013-12-01,92489,
LAUCN240130000000006,2013,November,2013-11-01,92891,
LAUCN240130000000006,2013,October,2013-10-01,92931,
LAUCN240130000000006,2013,September,2013-09-01,93477,
LAUCN240130000000006,2013,August,2013-08-01,93977,
LAUCN240130000000006,2013,July,2013-07-01,95318,
LAUCN240130000000006,2013,June,2013-06-01,95124,
LAUCN240130000000006,2013,May,2013-05-01,93650,
LAUCN240130000000006,2013,April,2013-04-01,93218,
LAUCN240130000000006,2013,March,2013-03-01,93731,
LAUCN240130000000006,2013,February,2013-02-01,93137,
LAUCN240130000000006,2013,January,2013-01-01,92954,
LAUCN240130000000006,2012,December,2012-12-01,93686,
LAUCN240130000000006,2012,November,2012-11-01,93702,
LAUCN240130000000006,2012,October,2012-10-01,94213,
LAUCN240130000000006,2012,September,2012-09-01,93990,
LAUCN240130000000006,2012,August,2012-08-01,94071,
LAUCN240130000000006,2012,July,2012-07-01,95560,
LAUCN240130000000006,2012,June,2012-06-01,95070,
LAUCN240130000000006,2012,May,2012-05-01,93061,
LAUCN240130000000006,2012,April,2012-04-01,92416,
LAUCN240130000000006,2012,March,2012-03-01,93145,
LAUCN240130000000006,2012,February,2012-02-01,92429,
LAUCN240130000000006,2012,January,2012-01-01,91782,
LAUCN240130000000006,2011,December,2011-12-01,93122,
LAUCN240130000000006,2011,November,2011-11-01,93155,
LAUCN240130000000006,2011,October,2011-10-01,93484,
LAUCN240130000000006,2011,September,2011-09-01,93334,
LAUCN240130000000006,2011,August,2011-08-01,93659,
LAUCN240130000000006,2011,July,2011-07-01,94346,
LAUCN240130000000006,2011,June,2011-06-01,93863,
LAUCN240130000000006,2011,May,2011-05-01,92517,
LAUCN240130000000006,2011,April,2011-04-01,92029,
LAUCN240130000000006,2011,March,2011-03-01,92658,
LAUCN240130000000006,2011,February,2011-02-01,91750,
LAUCN240130000000006,2011,January,2011-01-01,91619,
