series_id,year,month,date,value,footnotes
LAUCN240130000000004,2014,December,2014-12-01,3782,
LAUCN240130000000004,2014,November,2014-11-01,3951,
LAUCN240130000000004,2014,October,2014-10-01,4078,
LAUCN240130000000004,2014,September,2014-09-01,4044,
LAUCN240130000000004,2014,August,2014-08-01,4686,
LAUCN240130000000004,2014,July,2014-07-01,4945,
LAUCN240130000000004,2014,June,2014-06-01,4679,
LAUCN240130000000004,2014,May,2014-05-01,4260,
LAUCN240130000000004,2014,April,2014-04-01,3991,
LAUCN240130000000004,2014,March,2014-03-01,4824,
LAUCN240130000000004,2014,February,2014-02-01,4936,
LAUCN240130000000004,2014,January,2014-01-01,4769,
LAUCN240130000000004,2013,December,2013-12-01,4233,
LAUCN240130000000004,2013,November,2013-11-01,4494,
LAUCN240130000000004,2013,October,2013-10-01,4646,
LAUCN240130000000004,2013,September,2013-09-01,4742,
LAUCN240130000000004,2013,August,2013-08-01,5196,
LAUCN240130000000004,2013,July,2013-07-01,5500,
LAUCN240130000000004,2013,June,2013-06-01,5691,
LAUCN240130000000004,2013,May,2013-05-01,5162,
LAUCN240130000000004,2013,April,2013-04-01,4883,
LAUCN240130000000004,2013,March,2013-03-01,5468,
LAUCN240130000000004,2013,February,2013-02-01,5732,
LAUCN240130000000004,2013,January,2013-01-01,5888,
LAUCN240130000000004,2012,December,2012-12-01,5173,
LAUCN240130000000004,2012,November,2012-11-01,5101,
LAUCN240130000000004,2012,October,2012-10-01,5224,
LAUCN240130000000004,2012,September,2012-09-01,5153,
LAUCN240130000000004,2012,August,2012-08-01,5717,
LAUCN240130000000004,2012,July,2012-07-01,5885,
LAUCN240130000000004,2012,June,2012-06-01,5867,
LAUCN240130000000004,2012,May,2012-05-01,5221,
LAUCN240130000000004,2012,April,2012-04-01,4979,
LAUCN240130000000004,2012,March,2012-03-01,5572,
LAUCN240130000000004,2012,February,2012-02-01,5892,
LAUCN240130000000004,2012,January,2012-01-01,5724,
LAUCN240130000000004,2011,December,2011-12-01,5143,
LAUCN240130000000004,2011,November,2011-11-01,5081,
LAUCN240130000000004,2011,October,2011-10-01,5462,
LAUCN240130000000004,2011,September,2011-09-01,5632,
LAUCN240130000000004,2011,August,2011-08-01,6055,
LAUCN240130000000004,2011,July,2011-07-01,6163,
LAUCN240130000000004,2011,June,2011-06-01,6068,
LAUCN240130000000004,2011,May,2011-05-01,5512,
LAUCN240130000000004,2011,April,2011-04-01,5385,
LAUCN240130000000004,2011,March,2011-03-01,5897,
LAUCN240130000000004,2011,February,2011-02-01,6198,
LAUCN240130000000004,2011,January,2011-01-01,6284,
