series_id,year,month,date,value,footnotes
LAUCN240150000000005,2014,December,2014-12-01,50034,
LAUCN240150000000005,2014,November,2014-11-01,50139,
LAUCN240150000000005,2014,October,2014-10-01,49826,
LAUCN240150000000005,2014,September,2014-09-01,49435,
LAUCN240150000000005,2014,August,2014-08-01,49248,
LAUCN240150000000005,2014,July,2014-07-01,49745,
LAUCN240150000000005,2014,June,2014-06-01,49425,
LAUCN240150000000005,2014,May,2014-05-01,49041,
LAUCN240150000000005,2014,April,2014-04-01,48961,
LAUCN240150000000005,2014,March,2014-03-01,49089,
LAUCN240150000000005,2014,February,2014-02-01,48495,
LAUCN240150000000005,2014,January,2014-01-01,48683,
LAUCN240150000000005,2013,December,2013-12-01,48947,
LAUCN240150000000005,2013,November,2013-11-01,49171,
LAUCN240150000000005,2013,October,2013-10-01,48715,
LAUCN240150000000005,2013,September,2013-09-01,48742,
LAUCN240150000000005,2013,August,2013-08-01,48665,
LAUCN240150000000005,2013,July,2013-07-01,49035,
LAUCN240150000000005,2013,June,2013-06-01,48692,
LAUCN240150000000005,2013,May,2013-05-01,48413,
LAUCN240150000000005,2013,April,2013-04-01,48360,
LAUCN240150000000005,2013,March,2013-03-01,48079,
LAUCN240150000000005,2013,February,2013-02-01,47561,
LAUCN240150000000005,2013,January,2013-01-01,47500,
LAUCN240150000000005,2012,December,2012-12-01,48295,
LAUCN240150000000005,2012,November,2012-11-01,48355,
LAUCN240150000000005,2012,October,2012-10-01,48314,
LAUCN240150000000005,2012,September,2012-09-01,47959,
LAUCN240150000000005,2012,August,2012-08-01,47724,
LAUCN240150000000005,2012,July,2012-07-01,48367,
LAUCN240150000000005,2012,June,2012-06-01,48100,
LAUCN240150000000005,2012,May,2012-05-01,47707,
LAUCN240150000000005,2012,April,2012-04-01,47494,
LAUCN240150000000005,2012,March,2012-03-01,47395,
LAUCN240150000000005,2012,February,2012-02-01,46814,
LAUCN240150000000005,2012,January,2012-01-01,46664,
LAUCN240150000000005,2011,December,2011-12-01,47788,
LAUCN240150000000005,2011,November,2011-11-01,47740,
LAUCN240150000000005,2011,October,2011-10-01,47673,
LAUCN240150000000005,2011,September,2011-09-01,47692,
LAUCN240150000000005,2011,August,2011-08-01,47429,
LAUCN240150000000005,2011,July,2011-07-01,47860,
LAUCN240150000000005,2011,June,2011-06-01,47658,
LAUCN240150000000005,2011,May,2011-05-01,47508,
LAUCN240150000000005,2011,April,2011-04-01,47697,
LAUCN240150000000005,2011,March,2011-03-01,47435,
LAUCN240150000000005,2011,February,2011-02-01,46871,
LAUCN240150000000005,2011,January,2011-01-01,46836,
