series_id,year,month,date,value,footnotes
LAUCN240150000000006,2014,December,2014-12-01,53083,
LAUCN240150000000006,2014,November,2014-11-01,53181,
LAUCN240150000000006,2014,October,2014-10-01,52846,
LAUCN240150000000006,2014,September,2014-09-01,52480,
LAUCN240150000000006,2014,August,2014-08-01,52804,
LAUCN240150000000006,2014,July,2014-07-01,53468,
LAUCN240150000000006,2014,June,2014-06-01,52938,
LAUCN240150000000006,2014,May,2014-05-01,52352,
LAUCN240150000000006,2014,April,2014-04-01,52188,
LAUCN240150000000006,2014,March,2014-03-01,52920,
LAUCN240150000000006,2014,February,2014-02-01,52453,
LAUCN240150000000006,2014,January,2014-01-01,52532,
LAUCN240150000000006,2013,December,2013-12-01,52344,
LAUCN240150000000006,2013,November,2013-11-01,52672,
LAUCN240150000000006,2013,October,2013-10-01,52338,
LAUCN240150000000006,2013,September,2013-09-01,52426,
LAUCN240150000000006,2013,August,2013-08-01,52655,
LAUCN240150000000006,2013,July,2013-07-01,53307,
LAUCN240150000000006,2013,June,2013-06-01,53134,
LAUCN240150000000006,2013,May,2013-05-01,52424,
LAUCN240150000000006,2013,April,2013-04-01,52372,
LAUCN240150000000006,2013,March,2013-03-01,52468,
LAUCN240150000000006,2013,February,2013-02-01,52178,
LAUCN240150000000006,2013,January,2013-01-01,52132,
LAUCN240150000000006,2012,December,2012-12-01,52377,
LAUCN240150000000006,2012,November,2012-11-01,52315,
LAUCN240150000000006,2012,October,2012-10-01,52334,
LAUCN240150000000006,2012,September,2012-09-01,51849,
LAUCN240150000000006,2012,August,2012-08-01,52030,
LAUCN240150000000006,2012,July,2012-07-01,52942,
LAUCN240150000000006,2012,June,2012-06-01,52640,
LAUCN240150000000006,2012,May,2012-05-01,51825,
LAUCN240150000000006,2012,April,2012-04-01,51544,
LAUCN240150000000006,2012,March,2012-03-01,51880,
LAUCN240150000000006,2012,February,2012-02-01,51609,
LAUCN240150000000006,2012,January,2012-01-01,51306,
LAUCN240150000000006,2011,December,2011-12-01,52075,
LAUCN240150000000006,2011,November,2011-11-01,51879,
LAUCN240150000000006,2011,October,2011-10-01,52005,
LAUCN240150000000006,2011,September,2011-09-01,52120,
LAUCN240150000000006,2011,August,2011-08-01,52212,
LAUCN240150000000006,2011,July,2011-07-01,52818,
LAUCN240150000000006,2011,June,2011-06-01,52435,
LAUCN240150000000006,2011,May,2011-05-01,51962,
LAUCN240150000000006,2011,April,2011-04-01,52104,
LAUCN240150000000006,2011,March,2011-03-01,52334,
LAUCN240150000000006,2011,February,2011-02-01,52050,
LAUCN240150000000006,2011,January,2011-01-01,52025,
