series_id,year,month,date,value,footnotes
LAUCN240150000000004,2014,December,2014-12-01,3049,
LAUCN240150000000004,2014,November,2014-11-01,3042,
LAUCN240150000000004,2014,October,2014-10-01,3020,
LAUCN240150000000004,2014,September,2014-09-01,3045,
LAUCN240150000000004,2014,August,2014-08-01,3556,
LAUCN240150000000004,2014,July,2014-07-01,3723,
LAUCN240150000000004,2014,June,2014-06-01,3513,
LAUCN240150000000004,2014,May,2014-05-01,3311,
LAUCN240150000000004,2014,April,2014-04-01,3227,
LAUCN240150000000004,2014,March,2014-03-01,3831,
LAUCN240150000000004,2014,February,2014-02-01,3958,
LAUCN240150000000004,2014,January,2014-01-01,3849,
LAUCN240150000000004,2013,December,2013-12-01,3397,
LAUCN240150000000004,2013,November,2013-11-01,3501,
LAUCN240150000000004,2013,October,2013-10-01,3623,
LAUCN240150000000004,2013,September,2013-09-01,3684,
LAUCN240150000000004,2013,August,2013-08-01,3990,
LAUCN240150000000004,2013,July,2013-07-01,4272,
LAUCN240150000000004,2013,June,2013-06-01,4442,
LAUCN240150000000004,2013,May,2013-05-01,4011,
LAUCN240150000000004,2013,April,2013-04-01,4012,
LAUCN240150000000004,2013,March,2013-03-01,4389,
LAUCN240150000000004,2013,February,2013-02-01,4617,
LAUCN240150000000004,2013,January,2013-01-01,4632,
LAUCN240150000000004,2012,December,2012-12-01,4082,
LAUCN240150000000004,2012,November,2012-11-01,3960,
LAUCN240150000000004,2012,October,2012-10-01,4020,
LAUCN240150000000004,2012,September,2012-09-01,3890,
LAUCN240150000000004,2012,August,2012-08-01,4306,
LAUCN240150000000004,2012,July,2012-07-01,4575,
LAUCN240150000000004,2012,June,2012-06-01,4540,
LAUCN240150000000004,2012,May,2012-05-01,4118,
LAUCN240150000000004,2012,April,2012-04-01,4050,
LAUCN240150000000004,2012,March,2012-03-01,4485,
LAUCN240150000000004,2012,February,2012-02-01,4795,
LAUCN240150000000004,2012,January,2012-01-01,4642,
LAUCN240150000000004,2011,December,2011-12-01,4287,
LAUCN240150000000004,2011,November,2011-11-01,4139,
LAUCN240150000000004,2011,October,2011-10-01,4332,
LAUCN240150000000004,2011,September,2011-09-01,4428,
LAUCN240150000000004,2011,August,2011-08-01,4783,
LAUCN240150000000004,2011,July,2011-07-01,4958,
LAUCN240150000000004,2011,June,2011-06-01,4777,
LAUCN240150000000004,2011,May,2011-05-01,4454,
LAUCN240150000000004,2011,April,2011-04-01,4407,
LAUCN240150000000004,2011,March,2011-03-01,4899,
LAUCN240150000000004,2011,February,2011-02-01,5179,
LAUCN240150000000004,2011,January,2011-01-01,5189,
