series_id,year,month,date,value,footnotes
LAUCN240170000000005,2014,December,2014-12-01,76527,
LAUCN240170000000005,2014,November,2014-11-01,76661,
LAUCN240170000000005,2014,October,2014-10-01,76741,
LAUCN240170000000005,2014,September,2014-09-01,76244,
LAUCN240170000000005,2014,August,2014-08-01,75830,
LAUCN240170000000005,2014,July,2014-07-01,77007,
LAUCN240170000000005,2014,June,2014-06-01,76286,
LAUCN240170000000005,2014,May,2014-05-01,76030,
LAUCN240170000000005,2014,April,2014-04-01,75791,
LAUCN240170000000005,2014,March,2014-03-01,75913,
LAUCN240170000000005,2014,February,2014-02-01,75416,
LAUCN240170000000005,2014,January,2014-01-01,74763,
LAUCN240170000000005,2013,December,2013-12-01,75424,
LAUCN240170000000005,2013,November,2013-11-01,75632,
LAUCN240170000000005,2013,October,2013-10-01,75322,
LAUCN240170000000005,2013,September,2013-09-01,75381,
LAUCN240170000000005,2013,August,2013-08-01,75259,
LAUCN240170000000005,2013,July,2013-07-01,76467,
LAUCN240170000000005,2013,June,2013-06-01,75588,
LAUCN240170000000005,2013,May,2013-05-01,75758,
LAUCN240170000000005,2013,April,2013-04-01,75805,
LAUCN240170000000005,2013,March,2013-03-01,75634,
LAUCN240170000000005,2013,February,2013-02-01,75117,
LAUCN240170000000005,2013,January,2013-01-01,74462,
LAUCN240170000000005,2012,December,2012-12-01,75057,
LAUCN240170000000005,2012,November,2012-11-01,75177,
LAUCN240170000000005,2012,October,2012-10-01,75545,
LAUCN240170000000005,2012,September,2012-09-01,74672,
LAUCN240170000000005,2012,August,2012-08-01,74178,
LAUCN240170000000005,2012,July,2012-07-01,75155,
LAUCN240170000000005,2012,June,2012-06-01,74265,
LAUCN240170000000005,2012,May,2012-05-01,74429,
LAUCN240170000000005,2012,April,2012-04-01,74493,
LAUCN240170000000005,2012,March,2012-03-01,74716,
LAUCN240170000000005,2012,February,2012-02-01,73898,
LAUCN240170000000005,2012,January,2012-01-01,73258,
LAUCN240170000000005,2011,December,2011-12-01,74081,
LAUCN240170000000005,2011,November,2011-11-01,74064,
LAUCN240170000000005,2011,October,2011-10-01,74101,
LAUCN240170000000005,2011,September,2011-09-01,73602,
LAUCN240170000000005,2011,August,2011-08-01,73729,
LAUCN240170000000005,2011,July,2011-07-01,74387,
LAUCN240170000000005,2011,June,2011-06-01,73634,
LAUCN240170000000005,2011,May,2011-05-01,73642,
LAUCN240170000000005,2011,April,2011-04-01,73727,
LAUCN240170000000005,2011,March,2011-03-01,74063,
LAUCN240170000000005,2011,February,2011-02-01,73262,
LAUCN240170000000005,2011,January,2011-01-01,72894,
