series_id,year,month,date,value,footnotes
LAUCN240170000000006,2014,December,2014-12-01,80480,
LAUCN240170000000006,2014,November,2014-11-01,80853,
LAUCN240170000000006,2014,October,2014-10-01,81018,
LAUCN240170000000006,2014,September,2014-09-01,80546,
LAUCN240170000000006,2014,August,2014-08-01,80753,
LAUCN240170000000006,2014,July,2014-07-01,82163,
LAUCN240170000000006,2014,June,2014-06-01,81111,
LAUCN240170000000006,2014,May,2014-05-01,80568,
LAUCN240170000000006,2014,April,2014-04-01,80017,
LAUCN240170000000006,2014,March,2014-03-01,80717,
LAUCN240170000000006,2014,February,2014-02-01,80270,
LAUCN240170000000006,2014,January,2014-01-01,79487,
LAUCN240170000000006,2013,December,2013-12-01,79760,
LAUCN240170000000006,2013,November,2013-11-01,80323,
LAUCN240170000000006,2013,October,2013-10-01,80748,
LAUCN240170000000006,2013,September,2013-09-01,80347,
LAUCN240170000000006,2013,August,2013-08-01,80602,
LAUCN240170000000006,2013,July,2013-07-01,82049,
LAUCN240170000000006,2013,June,2013-06-01,81265,
LAUCN240170000000006,2013,May,2013-05-01,80999,
LAUCN240170000000006,2013,April,2013-04-01,80782,
LAUCN240170000000006,2013,March,2013-03-01,80931,
LAUCN240170000000006,2013,February,2013-02-01,80598,
LAUCN240170000000006,2013,January,2013-01-01,80013,
LAUCN240170000000006,2012,December,2012-12-01,80110,
LAUCN240170000000006,2012,November,2012-11-01,80129,
LAUCN240170000000006,2012,October,2012-10-01,80652,
LAUCN240170000000006,2012,September,2012-09-01,79668,
LAUCN240170000000006,2012,August,2012-08-01,79686,
LAUCN240170000000006,2012,July,2012-07-01,80936,
LAUCN240170000000006,2012,June,2012-06-01,79911,
LAUCN240170000000006,2012,May,2012-05-01,79571,
LAUCN240170000000006,2012,April,2012-04-01,79440,
LAUCN240170000000006,2012,March,2012-03-01,80027,
LAUCN240170000000006,2012,February,2012-02-01,79298,
LAUCN240170000000006,2012,January,2012-01-01,78521,
LAUCN240170000000006,2011,December,2011-12-01,79005,
LAUCN240170000000006,2011,November,2011-11-01,79015,
LAUCN240170000000006,2011,October,2011-10-01,79381,
LAUCN240170000000006,2011,September,2011-09-01,79057,
LAUCN240170000000006,2011,August,2011-08-01,79451,
LAUCN240170000000006,2011,July,2011-07-01,80177,
LAUCN240170000000006,2011,June,2011-06-01,79285,
LAUCN240170000000006,2011,May,2011-05-01,78854,
LAUCN240170000000006,2011,April,2011-04-01,78741,
LAUCN240170000000006,2011,March,2011-03-01,79361,
LAUCN240170000000006,2011,February,2011-02-01,78620,
LAUCN240170000000006,2011,January,2011-01-01,78331,
