series_id,year,month,date,value,footnotes
LAUCN240170000000004,2014,December,2014-12-01,3953,
LAUCN240170000000004,2014,November,2014-11-01,4192,
LAUCN240170000000004,2014,October,2014-10-01,4277,
LAUCN240170000000004,2014,September,2014-09-01,4302,
LAUCN240170000000004,2014,August,2014-08-01,4923,
LAUCN240170000000004,2014,July,2014-07-01,5156,
LAUCN240170000000004,2014,June,2014-06-01,4825,
LAUCN240170000000004,2014,May,2014-05-01,4538,
LAUCN240170000000004,2014,April,2014-04-01,4226,
LAUCN240170000000004,2014,March,2014-03-01,4804,
LAUCN240170000000004,2014,February,2014-02-01,4854,
LAUCN240170000000004,2014,January,2014-01-01,4724,
LAUCN240170000000004,2013,December,2013-12-01,4336,
LAUCN240170000000004,2013,November,2013-11-01,4691,
LAUCN240170000000004,2013,October,2013-10-01,5426,
LAUCN240170000000004,2013,September,2013-09-01,4966,
LAUCN240170000000004,2013,August,2013-08-01,5343,
LAUCN240170000000004,2013,July,2013-07-01,5582,
LAUCN240170000000004,2013,June,2013-06-01,5677,
LAUCN240170000000004,2013,May,2013-05-01,5241,
LAUCN240170000000004,2013,April,2013-04-01,4977,
LAUCN240170000000004,2013,March,2013-03-01,5297,
LAUCN240170000000004,2013,February,2013-02-01,5481,
LAUCN240170000000004,2013,January,2013-01-01,5551,
LAUCN240170000000004,2012,December,2012-12-01,5053,
LAUCN240170000000004,2012,November,2012-11-01,4952,
LAUCN240170000000004,2012,October,2012-10-01,5107,
LAUCN240170000000004,2012,September,2012-09-01,4996,
LAUCN240170000000004,2012,August,2012-08-01,5508,
LAUCN240170000000004,2012,July,2012-07-01,5781,
LAUCN240170000000004,2012,June,2012-06-01,5646,
LAUCN240170000000004,2012,May,2012-05-01,5142,
LAUCN240170000000004,2012,April,2012-04-01,4947,
LAUCN240170000000004,2012,March,2012-03-01,5311,
LAUCN240170000000004,2012,February,2012-02-01,5400,
LAUCN240170000000004,2012,January,2012-01-01,5263,
LAUCN240170000000004,2011,December,2011-12-01,4924,
LAUCN240170000000004,2011,November,2011-11-01,4951,
LAUCN240170000000004,2011,October,2011-10-01,5280,
LAUCN240170000000004,2011,September,2011-09-01,5455,
LAUCN240170000000004,2011,August,2011-08-01,5722,
LAUCN240170000000004,2011,July,2011-07-01,5790,
LAUCN240170000000004,2011,June,2011-06-01,5651,
LAUCN240170000000004,2011,May,2011-05-01,5212,
LAUCN240170000000004,2011,April,2011-04-01,5014,
LAUCN240170000000004,2011,March,2011-03-01,5298,
LAUCN240170000000004,2011,February,2011-02-01,5358,
LAUCN240170000000004,2011,January,2011-01-01,5437,
