series_id,year,month,date,value,footnotes
LAUCN240190000000005,2014,December,2014-12-01,14055,
LAUCN240190000000005,2014,November,2014-11-01,14422,
LAUCN240190000000005,2014,October,2014-10-01,14751,
LAUCN240190000000005,2014,September,2014-09-01,14910,
LAUCN240190000000005,2014,August,2014-08-01,14973,
LAUCN240190000000005,2014,July,2014-07-01,15106,
LAUCN240190000000005,2014,June,2014-06-01,15100,
LAUCN240190000000005,2014,May,2014-05-01,14401,
LAUCN240190000000005,2014,April,2014-04-01,14227,
LAUCN240190000000005,2014,March,2014-03-01,14565,
LAUCN240190000000005,2014,February,2014-02-01,14231,
LAUCN240190000000005,2014,January,2014-01-01,14073,
LAUCN240190000000005,2013,December,2013-12-01,14236,
LAUCN240190000000005,2013,November,2013-11-01,14450,
LAUCN240190000000005,2013,October,2013-10-01,14658,
LAUCN240190000000005,2013,September,2013-09-01,14856,
LAUCN240190000000005,2013,August,2013-08-01,14905,
LAUCN240190000000005,2013,July,2013-07-01,15213,
LAUCN240190000000005,2013,June,2013-06-01,15038,
LAUCN240190000000005,2013,May,2013-05-01,14547,
LAUCN240190000000005,2013,April,2013-04-01,14207,
LAUCN240190000000005,2013,March,2013-03-01,14098,
LAUCN240190000000005,2013,February,2013-02-01,13832,
LAUCN240190000000005,2013,January,2013-01-01,13712,
LAUCN240190000000005,2012,December,2012-12-01,13996,
LAUCN240190000000005,2012,November,2012-11-01,14254,
LAUCN240190000000005,2012,October,2012-10-01,14454,
LAUCN240190000000005,2012,September,2012-09-01,14844,
LAUCN240190000000005,2012,August,2012-08-01,14820,
LAUCN240190000000005,2012,July,2012-07-01,15334,
LAUCN240190000000005,2012,June,2012-06-01,15360,
LAUCN240190000000005,2012,May,2012-05-01,14537,
LAUCN240190000000005,2012,April,2012-04-01,14256,
LAUCN240190000000005,2012,March,2012-03-01,14256,
LAUCN240190000000005,2012,February,2012-02-01,13917,
LAUCN240190000000005,2012,January,2012-01-01,13758,
LAUCN240190000000005,2011,December,2011-12-01,14400,
LAUCN240190000000005,2011,November,2011-11-01,14765,
LAUCN240190000000005,2011,October,2011-10-01,14933,
LAUCN240190000000005,2011,September,2011-09-01,15132,
LAUCN240190000000005,2011,August,2011-08-01,15152,
LAUCN240190000000005,2011,July,2011-07-01,15380,
LAUCN240190000000005,2011,June,2011-06-01,15328,
LAUCN240190000000005,2011,May,2011-05-01,14620,
LAUCN240190000000005,2011,April,2011-04-01,14304,
LAUCN240190000000005,2011,March,2011-03-01,14306,
LAUCN240190000000005,2011,February,2011-02-01,14092,
LAUCN240190000000005,2011,January,2011-01-01,13969,
