series_id,year,month,date,value,footnotes
LAUCN240210000000005,2014,December,2014-12-01,122596,
LAUCN240210000000005,2014,November,2014-11-01,122619,
LAUCN240210000000005,2014,October,2014-10-01,123042,
LAUCN240210000000005,2014,September,2014-09-01,122525,
LAUCN240210000000005,2014,August,2014-08-01,122908,
LAUCN240210000000005,2014,July,2014-07-01,124071,
LAUCN240210000000005,2014,June,2014-06-01,123297,
LAUCN240210000000005,2014,May,2014-05-01,122052,
LAUCN240210000000005,2014,April,2014-04-01,121769,
LAUCN240210000000005,2014,March,2014-03-01,122146,
LAUCN240210000000005,2014,February,2014-02-01,121131,
LAUCN240210000000005,2014,January,2014-01-01,121397,
LAUCN240210000000005,2013,December,2013-12-01,121244,
LAUCN240210000000005,2013,November,2013-11-01,121115,
LAUCN240210000000005,2013,October,2013-10-01,120943,
LAUCN240210000000005,2013,September,2013-09-01,122091,
LAUCN240210000000005,2013,August,2013-08-01,122536,
LAUCN240210000000005,2013,July,2013-07-01,124222,
LAUCN240210000000005,2013,June,2013-06-01,122813,
LAUCN240210000000005,2013,May,2013-05-01,121829,
LAUCN240210000000005,2013,April,2013-04-01,121618,
LAUCN240210000000005,2013,March,2013-03-01,121236,
LAUCN240210000000005,2013,February,2013-02-01,120532,
LAUCN240210000000005,2013,January,2013-01-01,120830,
LAUCN240210000000005,2012,December,2012-12-01,121622,
LAUCN240210000000005,2012,November,2012-11-01,121554,
LAUCN240210000000005,2012,October,2012-10-01,122237,
LAUCN240210000000005,2012,September,2012-09-01,121850,
LAUCN240210000000005,2012,August,2012-08-01,121802,
LAUCN240210000000005,2012,July,2012-07-01,123864,
LAUCN240210000000005,2012,June,2012-06-01,122391,
LAUCN240210000000005,2012,May,2012-05-01,120652,
LAUCN240210000000005,2012,April,2012-04-01,120146,
LAUCN240210000000005,2012,March,2012-03-01,120574,
LAUCN240210000000005,2012,February,2012-02-01,119417,
LAUCN240210000000005,2012,January,2012-01-01,119222,
LAUCN240210000000005,2011,December,2011-12-01,120631,
LAUCN240210000000005,2011,November,2011-11-01,120613,
LAUCN240210000000005,2011,October,2011-10-01,120927,
LAUCN240210000000005,2011,September,2011-09-01,120587,
LAUCN240210000000005,2011,August,2011-08-01,120496,
LAUCN240210000000005,2011,July,2011-07-01,122208,
LAUCN240210000000005,2011,June,2011-06-01,120873,
LAUCN240210000000005,2011,May,2011-05-01,119957,
LAUCN240210000000005,2011,April,2011-04-01,119795,
LAUCN240210000000005,2011,March,2011-03-01,120277,
LAUCN240210000000005,2011,February,2011-02-01,119094,
LAUCN240210000000005,2011,January,2011-01-01,119415,
