series_id,year,month,date,value,footnotes
LAUCN240210000000006,2014,December,2014-12-01,128255,
LAUCN240210000000006,2014,November,2014-11-01,128548,
LAUCN240210000000006,2014,October,2014-10-01,129112,
LAUCN240210000000006,2014,September,2014-09-01,128608,
LAUCN240210000000006,2014,August,2014-08-01,129543,
LAUCN240210000000006,2014,July,2014-07-01,131063,
LAUCN240210000000006,2014,June,2014-06-01,130182,
LAUCN240210000000006,2014,May,2014-05-01,128412,
LAUCN240210000000006,2014,April,2014-04-01,127589,
LAUCN240210000000006,2014,March,2014-03-01,128947,
LAUCN240210000000006,2014,February,2014-02-01,128146,
LAUCN240210000000006,2014,January,2014-01-01,128171,
LAUCN240210000000006,2013,December,2013-12-01,127373,
LAUCN240210000000006,2013,November,2013-11-01,127681,
LAUCN240210000000006,2013,October,2013-10-01,128177,
LAUCN240210000000006,2013,September,2013-09-01,129093,
LAUCN240210000000006,2013,August,2013-08-01,129847,
LAUCN240210000000006,2013,July,2013-07-01,131956,
LAUCN240210000000006,2013,June,2013-06-01,131059,
LAUCN240210000000006,2013,May,2013-05-01,129397,
LAUCN240210000000006,2013,April,2013-04-01,128779,
LAUCN240210000000006,2013,March,2013-03-01,128984,
LAUCN240210000000006,2013,February,2013-02-01,128608,
LAUCN240210000000006,2013,January,2013-01-01,129061,
LAUCN240210000000006,2012,December,2012-12-01,128945,
LAUCN240210000000006,2012,November,2012-11-01,128747,
LAUCN240210000000006,2012,October,2012-10-01,129654,
LAUCN240210000000006,2012,September,2012-09-01,129128,
LAUCN240210000000006,2012,August,2012-08-01,129608,
LAUCN240210000000006,2012,July,2012-07-01,132047,
LAUCN240210000000006,2012,June,2012-06-01,130696,
LAUCN240210000000006,2012,May,2012-05-01,128324,
LAUCN240210000000006,2012,April,2012-04-01,127494,
LAUCN240210000000006,2012,March,2012-03-01,128699,
LAUCN240210000000006,2012,February,2012-02-01,127911,
LAUCN240210000000006,2012,January,2012-01-01,127489,
LAUCN240210000000006,2011,December,2011-12-01,128183,
LAUCN240210000000006,2011,November,2011-11-01,128148,
LAUCN240210000000006,2011,October,2011-10-01,128981,
LAUCN240210000000006,2011,September,2011-09-01,128870,
LAUCN240210000000006,2011,August,2011-08-01,129012,
LAUCN240210000000006,2011,July,2011-07-01,130923,
LAUCN240210000000006,2011,June,2011-06-01,129836,
LAUCN240210000000006,2011,May,2011-05-01,128219,
LAUCN240210000000006,2011,April,2011-04-01,127790,
LAUCN240210000000006,2011,March,2011-03-01,128806,
LAUCN240210000000006,2011,February,2011-02-01,127904,
LAUCN240210000000006,2011,January,2011-01-01,128298,
