series_id,year,month,date,value,footnotes
LAUCN240210000000004,2014,December,2014-12-01,5659,
LAUCN240210000000004,2014,November,2014-11-01,5929,
LAUCN240210000000004,2014,October,2014-10-01,6070,
LAUCN240210000000004,2014,September,2014-09-01,6083,
LAUCN240210000000004,2014,August,2014-08-01,6635,
LAUCN240210000000004,2014,July,2014-07-01,6992,
LAUCN240210000000004,2014,June,2014-06-01,6885,
LAUCN240210000000004,2014,May,2014-05-01,6360,
LAUCN240210000000004,2014,April,2014-04-01,5820,
LAUCN240210000000004,2014,March,2014-03-01,6801,
LAUCN240210000000004,2014,February,2014-02-01,7015,
LAUCN240210000000004,2014,January,2014-01-01,6774,
LAUCN240210000000004,2013,December,2013-12-01,6129,
LAUCN240210000000004,2013,November,2013-11-01,6566,
LAUCN240210000000004,2013,October,2013-10-01,7234,
LAUCN240210000000004,2013,September,2013-09-01,7002,
LAUCN240210000000004,2013,August,2013-08-01,7311,
LAUCN240210000000004,2013,July,2013-07-01,7734,
LAUCN240210000000004,2013,June,2013-06-01,8246,
LAUCN240210000000004,2013,May,2013-05-01,7568,
LAUCN240210000000004,2013,April,2013-04-01,7161,
LAUCN240210000000004,2013,March,2013-03-01,7748,
LAUCN240210000000004,2013,February,2013-02-01,8076,
LAUCN240210000000004,2013,January,2013-01-01,8231,
LAUCN240210000000004,2012,December,2012-12-01,7323,
LAUCN240210000000004,2012,November,2012-11-01,7193,
LAUCN240210000000004,2012,October,2012-10-01,7417,
LAUCN240210000000004,2012,September,2012-09-01,7278,
LAUCN240210000000004,2012,August,2012-08-01,7806,
LAUCN240210000000004,2012,July,2012-07-01,8183,
LAUCN240210000000004,2012,June,2012-06-01,8305,
LAUCN240210000000004,2012,May,2012-05-01,7672,
LAUCN240210000000004,2012,April,2012-04-01,7348,
LAUCN240210000000004,2012,March,2012-03-01,8125,
LAUCN240210000000004,2012,February,2012-02-01,8494,
LAUCN240210000000004,2012,January,2012-01-01,8267,
LAUCN240210000000004,2011,December,2011-12-01,7552,
LAUCN240210000000004,2011,November,2011-11-01,7535,
LAUCN240210000000004,2011,October,2011-10-01,8054,
LAUCN240210000000004,2011,September,2011-09-01,8283,
LAUCN240210000000004,2011,August,2011-08-01,8516,
LAUCN240210000000004,2011,July,2011-07-01,8715,
LAUCN240210000000004,2011,June,2011-06-01,8963,
LAUCN240210000000004,2011,May,2011-05-01,8262,
LAUCN240210000000004,2011,April,2011-04-01,7995,
LAUCN240210000000004,2011,March,2011-03-01,8529,
LAUCN240210000000004,2011,February,2011-02-01,8810,
LAUCN240210000000004,2011,January,2011-01-01,8883,
