series_id,year,month,date,value,footnotes
LAUCN240230000000005,2014,December,2014-12-01,14147,
LAUCN240230000000005,2014,November,2014-11-01,14271,
LAUCN240230000000005,2014,October,2014-10-01,14619,
LAUCN240230000000005,2014,September,2014-09-01,14676,
LAUCN240230000000005,2014,August,2014-08-01,14903,
LAUCN240230000000005,2014,July,2014-07-01,15199,
LAUCN240230000000005,2014,June,2014-06-01,14986,
LAUCN240230000000005,2014,May,2014-05-01,14583,
LAUCN240230000000005,2014,April,2014-04-01,14225,
LAUCN240230000000005,2014,March,2014-03-01,14296,
LAUCN240230000000005,2014,February,2014-02-01,14232,
LAUCN240230000000005,2014,January,2014-01-01,14311,
LAUCN240230000000005,2013,December,2013-12-01,14338,
LAUCN240230000000005,2013,November,2013-11-01,14313,
LAUCN240230000000005,2013,October,2013-10-01,14531,
LAUCN240230000000005,2013,September,2013-09-01,14761,
LAUCN240230000000005,2013,August,2013-08-01,15040,
LAUCN240230000000005,2013,July,2013-07-01,15273,
LAUCN240230000000005,2013,June,2013-06-01,15050,
LAUCN240230000000005,2013,May,2013-05-01,14596,
LAUCN240230000000005,2013,April,2013-04-01,14223,
LAUCN240230000000005,2013,March,2013-03-01,14202,
LAUCN240230000000005,2013,February,2013-02-01,14200,
LAUCN240230000000005,2013,January,2013-01-01,14190,
LAUCN240230000000005,2012,December,2012-12-01,14306,
LAUCN240230000000005,2012,November,2012-11-01,14255,
LAUCN240230000000005,2012,October,2012-10-01,14577,
LAUCN240230000000005,2012,September,2012-09-01,14844,
LAUCN240230000000005,2012,August,2012-08-01,14992,
LAUCN240230000000005,2012,July,2012-07-01,15381,
LAUCN240230000000005,2012,June,2012-06-01,15294,
LAUCN240230000000005,2012,May,2012-05-01,14565,
LAUCN240230000000005,2012,April,2012-04-01,14196,
LAUCN240230000000005,2012,March,2012-03-01,14273,
LAUCN240230000000005,2012,February,2012-02-01,14186,
LAUCN240230000000005,2012,January,2012-01-01,14088,
LAUCN240230000000005,2011,December,2011-12-01,14261,
LAUCN240230000000005,2011,November,2011-11-01,14375,
LAUCN240230000000005,2011,October,2011-10-01,14533,
LAUCN240230000000005,2011,September,2011-09-01,14768,
LAUCN240230000000005,2011,August,2011-08-01,14858,
LAUCN240230000000005,2011,July,2011-07-01,15043,
LAUCN240230000000005,2011,June,2011-06-01,15022,
LAUCN240230000000005,2011,May,2011-05-01,14519,
LAUCN240230000000005,2011,April,2011-04-01,14079,
LAUCN240230000000005,2011,March,2011-03-01,14286,
LAUCN240230000000005,2011,February,2011-02-01,14105,
LAUCN240230000000005,2011,January,2011-01-01,14102,
