series_id,year,month,date,value,footnotes
LAUCN240230000000006,2014,December,2014-12-01,15261,
LAUCN240230000000006,2014,November,2014-11-01,15236,
LAUCN240230000000006,2014,October,2014-10-01,15503,
LAUCN240230000000006,2014,September,2014-09-01,15599,
LAUCN240230000000006,2014,August,2014-08-01,15935,
LAUCN240230000000006,2014,July,2014-07-01,16289,
LAUCN240230000000006,2014,June,2014-06-01,16045,
LAUCN240230000000006,2014,May,2014-05-01,15584,
LAUCN240230000000006,2014,April,2014-04-01,15252,
LAUCN240230000000006,2014,March,2014-03-01,15609,
LAUCN240230000000006,2014,February,2014-02-01,15646,
LAUCN240230000000006,2014,January,2014-01-01,15685,
LAUCN240230000000006,2013,December,2013-12-01,15480,
LAUCN240230000000006,2013,November,2013-11-01,15350,
LAUCN240230000000006,2013,October,2013-10-01,15551,
LAUCN240230000000006,2013,September,2013-09-01,15832,
LAUCN240230000000006,2013,August,2013-08-01,16187,
LAUCN240230000000006,2013,July,2013-07-01,16527,
LAUCN240230000000006,2013,June,2013-06-01,16351,
LAUCN240230000000006,2013,May,2013-05-01,15819,
LAUCN240230000000006,2013,April,2013-04-01,15470,
LAUCN240230000000006,2013,March,2013-03-01,15703,
LAUCN240230000000006,2013,February,2013-02-01,15837,
LAUCN240230000000006,2013,January,2013-01-01,15897,
LAUCN240230000000006,2012,December,2012-12-01,15625,
LAUCN240230000000006,2012,November,2012-11-01,15533,
LAUCN240230000000006,2012,October,2012-10-01,15700,
LAUCN240230000000006,2012,September,2012-09-01,15899,
LAUCN240230000000006,2012,August,2012-08-01,16185,
LAUCN240230000000006,2012,July,2012-07-01,16691,
LAUCN240230000000006,2012,June,2012-06-01,16625,
LAUCN240230000000006,2012,May,2012-05-01,15814,
LAUCN240230000000006,2012,April,2012-04-01,15366,
LAUCN240230000000006,2012,March,2012-03-01,15711,
LAUCN240230000000006,2012,February,2012-02-01,15758,
LAUCN240230000000006,2012,January,2012-01-01,15663,
LAUCN240230000000006,2011,December,2011-12-01,15571,
LAUCN240230000000006,2011,November,2011-11-01,15524,
LAUCN240230000000006,2011,October,2011-10-01,15706,
LAUCN240230000000006,2011,September,2011-09-01,15938,
LAUCN240230000000006,2011,August,2011-08-01,16142,
LAUCN240230000000006,2011,July,2011-07-01,16395,
LAUCN240230000000006,2011,June,2011-06-01,16358,
LAUCN240230000000006,2011,May,2011-05-01,15732,
LAUCN240230000000006,2011,April,2011-04-01,15353,
LAUCN240230000000006,2011,March,2011-03-01,15790,
LAUCN240230000000006,2011,February,2011-02-01,15753,
LAUCN240230000000006,2011,January,2011-01-01,15768,
