series_id,year,month,date,value,footnotes
LAUCN240230000000004,2014,December,2014-12-01,1114,
LAUCN240230000000004,2014,November,2014-11-01,965,
LAUCN240230000000004,2014,October,2014-10-01,884,
LAUCN240230000000004,2014,September,2014-09-01,923,
LAUCN240230000000004,2014,August,2014-08-01,1032,
LAUCN240230000000004,2014,July,2014-07-01,1090,
LAUCN240230000000004,2014,June,2014-06-01,1059,
LAUCN240230000000004,2014,May,2014-05-01,1001,
LAUCN240230000000004,2014,April,2014-04-01,1027,
LAUCN240230000000004,2014,March,2014-03-01,1313,
LAUCN240230000000004,2014,February,2014-02-01,1414,
LAUCN240230000000004,2014,January,2014-01-01,1374,
LAUCN240230000000004,2013,December,2013-12-01,1142,
LAUCN240230000000004,2013,November,2013-11-01,1037,
LAUCN240230000000004,2013,October,2013-10-01,1020,
LAUCN240230000000004,2013,September,2013-09-01,1071,
LAUCN240230000000004,2013,August,2013-08-01,1147,
LAUCN240230000000004,2013,July,2013-07-01,1254,
LAUCN240230000000004,2013,June,2013-06-01,1301,
LAUCN240230000000004,2013,May,2013-05-01,1223,
LAUCN240230000000004,2013,April,2013-04-01,1247,
LAUCN240230000000004,2013,March,2013-03-01,1501,
LAUCN240230000000004,2013,February,2013-02-01,1637,
LAUCN240230000000004,2013,January,2013-01-01,1707,
LAUCN240230000000004,2012,December,2012-12-01,1319,
LAUCN240230000000004,2012,November,2012-11-01,1278,
LAUCN240230000000004,2012,October,2012-10-01,1123,
LAUCN240230000000004,2012,September,2012-09-01,1055,
LAUCN240230000000004,2012,August,2012-08-01,1193,
LAUCN240230000000004,2012,July,2012-07-01,1310,
LAUCN240230000000004,2012,June,2012-06-01,1331,
LAUCN240230000000004,2012,May,2012-05-01,1249,
LAUCN240230000000004,2012,April,2012-04-01,1170,
LAUCN240230000000004,2012,March,2012-03-01,1438,
LAUCN240230000000004,2012,February,2012-02-01,1572,
LAUCN240230000000004,2012,January,2012-01-01,1575,
LAUCN240230000000004,2011,December,2011-12-01,1310,
LAUCN240230000000004,2011,November,2011-11-01,1149,
LAUCN240230000000004,2011,October,2011-10-01,1173,
LAUCN240230000000004,2011,September,2011-09-01,1170,
LAUCN240230000000004,2011,August,2011-08-01,1284,
LAUCN240230000000004,2011,July,2011-07-01,1352,
LAUCN240230000000004,2011,June,2011-06-01,1336,
LAUCN240230000000004,2011,May,2011-05-01,1213,
LAUCN240230000000004,2011,April,2011-04-01,1274,
LAUCN240230000000004,2011,March,2011-03-01,1504,
LAUCN240230000000004,2011,February,2011-02-01,1648,
LAUCN240230000000004,2011,January,2011-01-01,1666,
