series_id,year,month,date,value,footnotes
LAUCN240250000000005,2014,December,2014-12-01,129253,
LAUCN240250000000005,2014,November,2014-11-01,129378,
LAUCN240250000000005,2014,October,2014-10-01,129710,
LAUCN240250000000005,2014,September,2014-09-01,128754,
LAUCN240250000000005,2014,August,2014-08-01,128881,
LAUCN240250000000005,2014,July,2014-07-01,129750,
LAUCN240250000000005,2014,June,2014-06-01,129250,
LAUCN240250000000005,2014,May,2014-05-01,128545,
LAUCN240250000000005,2014,April,2014-04-01,128504,
LAUCN240250000000005,2014,March,2014-03-01,127721,
LAUCN240250000000005,2014,February,2014-02-01,126377,
LAUCN240250000000005,2014,January,2014-01-01,125994,
LAUCN240250000000005,2013,December,2013-12-01,127357,
LAUCN240250000000005,2013,November,2013-11-01,127516,
LAUCN240250000000005,2013,October,2013-10-01,127316,
LAUCN240250000000005,2013,September,2013-09-01,127615,
LAUCN240250000000005,2013,August,2013-08-01,127740,
LAUCN240250000000005,2013,July,2013-07-01,129075,
LAUCN240250000000005,2013,June,2013-06-01,128601,
LAUCN240250000000005,2013,May,2013-05-01,127982,
LAUCN240250000000005,2013,April,2013-04-01,127776,
LAUCN240250000000005,2013,March,2013-03-01,127485,
LAUCN240250000000005,2013,February,2013-02-01,126365,
LAUCN240250000000005,2013,January,2013-01-01,125949,
LAUCN240250000000005,2012,December,2012-12-01,127596,
LAUCN240250000000005,2012,November,2012-11-01,127537,
LAUCN240250000000005,2012,October,2012-10-01,128119,
LAUCN240250000000005,2012,September,2012-09-01,127133,
LAUCN240250000000005,2012,August,2012-08-01,126728,
LAUCN240250000000005,2012,July,2012-07-01,127894,
LAUCN240250000000005,2012,June,2012-06-01,127126,
LAUCN240250000000005,2012,May,2012-05-01,126551,
LAUCN240250000000005,2012,April,2012-04-01,126267,
LAUCN240250000000005,2012,March,2012-03-01,126141,
LAUCN240250000000005,2012,February,2012-02-01,124825,
LAUCN240250000000005,2012,January,2012-01-01,124335,
LAUCN240250000000005,2011,December,2011-12-01,125593,
LAUCN240250000000005,2011,November,2011-11-01,125457,
LAUCN240250000000005,2011,October,2011-10-01,125347,
LAUCN240250000000005,2011,September,2011-09-01,124414,
LAUCN240250000000005,2011,August,2011-08-01,124489,
LAUCN240250000000005,2011,July,2011-07-01,125109,
LAUCN240250000000005,2011,June,2011-06-01,124592,
LAUCN240250000000005,2011,May,2011-05-01,124307,
LAUCN240250000000005,2011,April,2011-04-01,124081,
LAUCN240250000000005,2011,March,2011-03-01,123793,
LAUCN240250000000005,2011,February,2011-02-01,122193,
LAUCN240250000000005,2011,January,2011-01-01,122032,
