series_id,year,month,date,value,footnotes
LAUCN240250000000006,2014,December,2014-12-01,135841,
LAUCN240250000000006,2014,November,2014-11-01,136261,
LAUCN240250000000006,2014,October,2014-10-01,136790,
LAUCN240250000000006,2014,September,2014-09-01,135894,
LAUCN240250000000006,2014,August,2014-08-01,136966,
LAUCN240250000000006,2014,July,2014-07-01,138242,
LAUCN240250000000006,2014,June,2014-06-01,137279,
LAUCN240250000000006,2014,May,2014-05-01,136025,
LAUCN240250000000006,2014,April,2014-04-01,135554,
LAUCN240250000000006,2014,March,2014-03-01,135872,
LAUCN240250000000006,2014,February,2014-02-01,134725,
LAUCN240250000000006,2014,January,2014-01-01,134080,
LAUCN240250000000006,2013,December,2013-12-01,134596,
LAUCN240250000000006,2013,November,2013-11-01,135249,
LAUCN240250000000006,2013,October,2013-10-01,135499,
LAUCN240250000000006,2013,September,2013-09-01,135946,
LAUCN240250000000006,2013,August,2013-08-01,136709,
LAUCN240250000000006,2013,July,2013-07-01,138522,
LAUCN240250000000006,2013,June,2013-06-01,138351,
LAUCN240250000000006,2013,May,2013-05-01,136997,
LAUCN240250000000006,2013,April,2013-04-01,136429,
LAUCN240250000000006,2013,March,2013-03-01,136857,
LAUCN240250000000006,2013,February,2013-02-01,136199,
LAUCN240250000000006,2013,January,2013-01-01,135991,
LAUCN240250000000006,2012,December,2012-12-01,136531,
LAUCN240250000000006,2012,November,2012-11-01,136253,
LAUCN240250000000006,2012,October,2012-10-01,137084,
LAUCN240250000000006,2012,September,2012-09-01,135969,
LAUCN240250000000006,2012,August,2012-08-01,136448,
LAUCN240250000000006,2012,July,2012-07-01,138020,
LAUCN240250000000006,2012,June,2012-06-01,137029,
LAUCN240250000000006,2012,May,2012-05-01,135618,
LAUCN240250000000006,2012,April,2012-04-01,134954,
LAUCN240250000000006,2012,March,2012-03-01,135592,
LAUCN240250000000006,2012,February,2012-02-01,134724,
LAUCN240250000000006,2012,January,2012-01-01,134027,
LAUCN240250000000006,2011,December,2011-12-01,134429,
LAUCN240250000000006,2011,November,2011-11-01,134248,
LAUCN240250000000006,2011,October,2011-10-01,134703,
LAUCN240250000000006,2011,September,2011-09-01,133986,
LAUCN240250000000006,2011,August,2011-08-01,134526,
LAUCN240250000000006,2011,July,2011-07-01,135407,
LAUCN240250000000006,2011,June,2011-06-01,134808,
LAUCN240250000000006,2011,May,2011-05-01,133834,
LAUCN240250000000006,2011,April,2011-04-01,133367,
LAUCN240250000000006,2011,March,2011-03-01,133782,
LAUCN240250000000006,2011,February,2011-02-01,132555,
LAUCN240250000000006,2011,January,2011-01-01,132447,
