series_id,year,month,date,value,footnotes
LAUCN240270000000005,2014,December,2014-12-01,168430,
LAUCN240270000000005,2014,November,2014-11-01,168470,
LAUCN240270000000005,2014,October,2014-10-01,168729,
LAUCN240270000000005,2014,September,2014-09-01,167130,
LAUCN240270000000005,2014,August,2014-08-01,167472,
LAUCN240270000000005,2014,July,2014-07-01,168558,
LAUCN240270000000005,2014,June,2014-06-01,168011,
LAUCN240270000000005,2014,May,2014-05-01,167212,
LAUCN240270000000005,2014,April,2014-04-01,167002,
LAUCN240270000000005,2014,March,2014-03-01,165898,
LAUCN240270000000005,2014,February,2014-02-01,164357,
LAUCN240270000000005,2014,January,2014-01-01,164129,
LAUCN240270000000005,2013,December,2013-12-01,164131,
LAUCN240270000000005,2013,November,2013-11-01,164281,
LAUCN240270000000005,2013,October,2013-10-01,163764,
LAUCN240270000000005,2013,September,2013-09-01,163899,
LAUCN240270000000005,2013,August,2013-08-01,164071,
LAUCN240270000000005,2013,July,2013-07-01,165514,
LAUCN240270000000005,2013,June,2013-06-01,165045,
LAUCN240270000000005,2013,May,2013-05-01,164455,
LAUCN240270000000005,2013,April,2013-04-01,164093,
LAUCN240270000000005,2013,March,2013-03-01,163668,
LAUCN240270000000005,2013,February,2013-02-01,162472,
LAUCN240270000000005,2013,January,2013-01-01,162253,
LAUCN240270000000005,2012,December,2012-12-01,162066,
LAUCN240270000000005,2012,November,2012-11-01,161903,
LAUCN240270000000005,2012,October,2012-10-01,162432,
LAUCN240270000000005,2012,September,2012-09-01,160806,
LAUCN240270000000005,2012,August,2012-08-01,160393,
LAUCN240270000000005,2012,July,2012-07-01,161463,
LAUCN240270000000005,2012,June,2012-06-01,160682,
LAUCN240270000000005,2012,May,2012-05-01,160329,
LAUCN240270000000005,2012,April,2012-04-01,159901,
LAUCN240270000000005,2012,March,2012-03-01,159632,
LAUCN240270000000005,2012,February,2012-02-01,158182,
LAUCN240270000000005,2012,January,2012-01-01,157833,
LAUCN240270000000005,2011,December,2011-12-01,157498,
LAUCN240270000000005,2011,November,2011-11-01,157340,
LAUCN240270000000005,2011,October,2011-10-01,157011,
LAUCN240270000000005,2011,September,2011-09-01,155401,
LAUCN240270000000005,2011,August,2011-08-01,155622,
LAUCN240270000000005,2011,July,2011-07-01,156317,
LAUCN240270000000005,2011,June,2011-06-01,155700,
LAUCN240270000000005,2011,May,2011-05-01,155653,
LAUCN240270000000005,2011,April,2011-04-01,155478,
LAUCN240270000000005,2011,March,2011-03-01,154894,
LAUCN240270000000005,2011,February,2011-02-01,153062,
LAUCN240270000000005,2011,January,2011-01-01,152967,
