series_id,year,month,date,value,footnotes
LAUCN240270000000006,2014,December,2014-12-01,174833,
LAUCN240270000000006,2014,November,2014-11-01,175418,
LAUCN240270000000006,2014,October,2014-10-01,175901,
LAUCN240270000000006,2014,September,2014-09-01,174373,
LAUCN240270000000006,2014,August,2014-08-01,175544,
LAUCN240270000000006,2014,July,2014-07-01,177035,
LAUCN240270000000006,2014,June,2014-06-01,176185,
LAUCN240270000000006,2014,May,2014-05-01,174623,
LAUCN240270000000006,2014,April,2014-04-01,173636,
LAUCN240270000000006,2014,March,2014-03-01,173549,
LAUCN240270000000006,2014,February,2014-02-01,171980,
LAUCN240270000000006,2014,January,2014-01-01,171557,
LAUCN240270000000006,2013,December,2013-12-01,170864,
LAUCN240270000000006,2013,November,2013-11-01,171676,
LAUCN240270000000006,2013,October,2013-10-01,171999,
LAUCN240270000000006,2013,September,2013-09-01,171933,
LAUCN240270000000006,2013,August,2013-08-01,172629,
LAUCN240270000000006,2013,July,2013-07-01,174490,
LAUCN240270000000006,2013,June,2013-06-01,174599,
LAUCN240270000000006,2013,May,2013-05-01,173058,
LAUCN240270000000006,2013,April,2013-04-01,171983,
LAUCN240270000000006,2013,March,2013-03-01,172116,
LAUCN240270000000006,2013,February,2013-02-01,171002,
LAUCN240270000000006,2013,January,2013-01-01,170910,
LAUCN240270000000006,2012,December,2012-12-01,169893,
LAUCN240270000000006,2012,November,2012-11-01,169746,
LAUCN240270000000006,2012,October,2012-10-01,170630,
LAUCN240270000000006,2012,September,2012-09-01,168867,
LAUCN240270000000006,2012,August,2012-08-01,169209,
LAUCN240270000000006,2012,July,2012-07-01,170520,
LAUCN240270000000006,2012,June,2012-06-01,169916,
LAUCN240270000000006,2012,May,2012-05-01,168596,
LAUCN240270000000006,2012,April,2012-04-01,167669,
LAUCN240270000000006,2012,March,2012-03-01,168036,
LAUCN240270000000006,2012,February,2012-02-01,166714,
LAUCN240270000000006,2012,January,2012-01-01,166183,
LAUCN240270000000006,2011,December,2011-12-01,165289,
LAUCN240270000000006,2011,November,2011-11-01,165221,
LAUCN240270000000006,2011,October,2011-10-01,165544,
LAUCN240270000000006,2011,September,2011-09-01,164166,
LAUCN240270000000006,2011,August,2011-08-01,164707,
LAUCN240270000000006,2011,July,2011-07-01,165541,
LAUCN240270000000006,2011,June,2011-06-01,165122,
LAUCN240270000000006,2011,May,2011-05-01,164195,
LAUCN240270000000006,2011,April,2011-04-01,163526,
LAUCN240270000000006,2011,March,2011-03-01,163340,
LAUCN240270000000006,2011,February,2011-02-01,161587,
LAUCN240270000000006,2011,January,2011-01-01,161665,
