series_id,year,month,date,value,footnotes
LAUCN240270000000004,2014,December,2014-12-01,6403,
LAUCN240270000000004,2014,November,2014-11-01,6948,
LAUCN240270000000004,2014,October,2014-10-01,7172,
LAUCN240270000000004,2014,September,2014-09-01,7243,
LAUCN240270000000004,2014,August,2014-08-01,8072,
LAUCN240270000000004,2014,July,2014-07-01,8477,
LAUCN240270000000004,2014,June,2014-06-01,8174,
LAUCN240270000000004,2014,May,2014-05-01,7411,
LAUCN240270000000004,2014,April,2014-04-01,6634,
LAUCN240270000000004,2014,March,2014-03-01,7651,
LAUCN240270000000004,2014,February,2014-02-01,7623,
LAUCN240270000000004,2014,January,2014-01-01,7428,
LAUCN240270000000004,2013,December,2013-12-01,6733,
LAUCN240270000000004,2013,November,2013-11-01,7395,
LAUCN240270000000004,2013,October,2013-10-01,8235,
LAUCN240270000000004,2013,September,2013-09-01,8034,
LAUCN240270000000004,2013,August,2013-08-01,8558,
LAUCN240270000000004,2013,July,2013-07-01,8976,
LAUCN240270000000004,2013,June,2013-06-01,9554,
LAUCN240270000000004,2013,May,2013-05-01,8603,
LAUCN240270000000004,2013,April,2013-04-01,7890,
LAUCN240270000000004,2013,March,2013-03-01,8448,
LAUCN240270000000004,2013,February,2013-02-01,8530,
LAUCN240270000000004,2013,January,2013-01-01,8657,
LAUCN240270000000004,2012,December,2012-12-01,7827,
LAUCN240270000000004,2012,November,2012-11-01,7843,
LAUCN240270000000004,2012,October,2012-10-01,8198,
LAUCN240270000000004,2012,September,2012-09-01,8061,
LAUCN240270000000004,2012,August,2012-08-01,8816,
LAUCN240270000000004,2012,July,2012-07-01,9057,
LAUCN240270000000004,2012,June,2012-06-01,9234,
LAUCN240270000000004,2012,May,2012-05-01,8267,
LAUCN240270000000004,2012,April,2012-04-01,7768,
LAUCN240270000000004,2012,March,2012-03-01,8404,
LAUCN240270000000004,2012,February,2012-02-01,8532,
LAUCN240270000000004,2012,January,2012-01-01,8350,
LAUCN240270000000004,2011,December,2011-12-01,7791,
LAUCN240270000000004,2011,November,2011-11-01,7881,
LAUCN240270000000004,2011,October,2011-10-01,8533,
LAUCN240270000000004,2011,September,2011-09-01,8765,
LAUCN240270000000004,2011,August,2011-08-01,9085,
LAUCN240270000000004,2011,July,2011-07-01,9224,
LAUCN240270000000004,2011,June,2011-06-01,9422,
LAUCN240270000000004,2011,May,2011-05-01,8542,
LAUCN240270000000004,2011,April,2011-04-01,8048,
LAUCN240270000000004,2011,March,2011-03-01,8446,
LAUCN240270000000004,2011,February,2011-02-01,8525,
LAUCN240270000000004,2011,January,2011-01-01,8698,
