series_id,year,month,date,value,footnotes
LAUCN240290000000005,2014,December,2014-12-01,9576,
LAUCN240290000000005,2014,November,2014-11-01,9800,
LAUCN240290000000005,2014,October,2014-10-01,10013,
LAUCN240290000000005,2014,September,2014-09-01,10182,
LAUCN240290000000005,2014,August,2014-08-01,10131,
LAUCN240290000000005,2014,July,2014-07-01,10218,
LAUCN240290000000005,2014,June,2014-06-01,10045,
LAUCN240290000000005,2014,May,2014-05-01,9534,
LAUCN240290000000005,2014,April,2014-04-01,9440,
LAUCN240290000000005,2014,March,2014-03-01,9679,
LAUCN240290000000005,2014,February,2014-02-01,9269,
LAUCN240290000000005,2014,January,2014-01-01,9154,
LAUCN240290000000005,2013,December,2013-12-01,9452,
LAUCN240290000000005,2013,November,2013-11-01,9528,
LAUCN240290000000005,2013,October,2013-10-01,9610,
LAUCN240290000000005,2013,September,2013-09-01,9897,
LAUCN240290000000005,2013,August,2013-08-01,10071,
LAUCN240290000000005,2013,July,2013-07-01,10308,
LAUCN240290000000005,2013,June,2013-06-01,10180,
LAUCN240290000000005,2013,May,2013-05-01,9623,
LAUCN240290000000005,2013,April,2013-04-01,9508,
LAUCN240290000000005,2013,March,2013-03-01,9484,
LAUCN240290000000005,2013,February,2013-02-01,9169,
LAUCN240290000000005,2013,January,2013-01-01,9067,
LAUCN240290000000005,2012,December,2012-12-01,9478,
LAUCN240290000000005,2012,November,2012-11-01,9613,
LAUCN240290000000005,2012,October,2012-10-01,9723,
LAUCN240290000000005,2012,September,2012-09-01,10235,
LAUCN240290000000005,2012,August,2012-08-01,10299,
LAUCN240290000000005,2012,July,2012-07-01,10929,
LAUCN240290000000005,2012,June,2012-06-01,10649,
LAUCN240290000000005,2012,May,2012-05-01,9820,
LAUCN240290000000005,2012,April,2012-04-01,9567,
LAUCN240290000000005,2012,March,2012-03-01,9662,
LAUCN240290000000005,2012,February,2012-02-01,9305,
LAUCN240290000000005,2012,January,2012-01-01,9056,
LAUCN240290000000005,2011,December,2011-12-01,9579,
LAUCN240290000000005,2011,November,2011-11-01,9785,
LAUCN240290000000005,2011,October,2011-10-01,9892,
LAUCN240290000000005,2011,September,2011-09-01,10384,
LAUCN240290000000005,2011,August,2011-08-01,10435,
LAUCN240290000000005,2011,July,2011-07-01,10598,
LAUCN240290000000005,2011,June,2011-06-01,10423,
LAUCN240290000000005,2011,May,2011-05-01,9846,
LAUCN240290000000005,2011,April,2011-04-01,9601,
LAUCN240290000000005,2011,March,2011-03-01,9749,
LAUCN240290000000005,2011,February,2011-02-01,9384,
LAUCN240290000000005,2011,January,2011-01-01,9227,
