series_id,year,month,date,value,footnotes
LAUCN240290000000006,2014,December,2014-12-01,10172,
LAUCN240290000000006,2014,November,2014-11-01,10386,
LAUCN240290000000006,2014,October,2014-10-01,10576,
LAUCN240290000000006,2014,September,2014-09-01,10752,
LAUCN240290000000006,2014,August,2014-08-01,10777,
LAUCN240290000000006,2014,July,2014-07-01,10891,
LAUCN240290000000006,2014,June,2014-06-01,10700,
LAUCN240290000000006,2014,May,2014-05-01,10145,
LAUCN240290000000006,2014,April,2014-04-01,10047,
LAUCN240290000000006,2014,March,2014-03-01,10428,
LAUCN240290000000006,2014,February,2014-02-01,10109,
LAUCN240290000000006,2014,January,2014-01-01,9970,
LAUCN240290000000006,2013,December,2013-12-01,10101,
LAUCN240290000000006,2013,November,2013-11-01,10159,
LAUCN240290000000006,2013,October,2013-10-01,10252,
LAUCN240290000000006,2013,September,2013-09-01,10565,
LAUCN240290000000006,2013,August,2013-08-01,10803,
LAUCN240290000000006,2013,July,2013-07-01,11069,
LAUCN240290000000006,2013,June,2013-06-01,10980,
LAUCN240290000000006,2013,May,2013-05-01,10361,
LAUCN240290000000006,2013,April,2013-04-01,10235,
LAUCN240290000000006,2013,March,2013-03-01,10307,
LAUCN240290000000006,2013,February,2013-02-01,10052,
LAUCN240290000000006,2013,January,2013-01-01,9975,
LAUCN240290000000006,2012,December,2012-12-01,10214,
LAUCN240290000000006,2012,November,2012-11-01,10325,
LAUCN240290000000006,2012,October,2012-10-01,10437,
LAUCN240290000000006,2012,September,2012-09-01,10940,
LAUCN240290000000006,2012,August,2012-08-01,11084,
LAUCN240290000000006,2012,July,2012-07-01,11769,
LAUCN240290000000006,2012,June,2012-06-01,11483,
LAUCN240290000000006,2012,May,2012-05-01,10583,
LAUCN240290000000006,2012,April,2012-04-01,10331,
LAUCN240290000000006,2012,March,2012-03-01,10532,
LAUCN240290000000006,2012,February,2012-02-01,10262,
LAUCN240290000000006,2012,January,2012-01-01,10033,
LAUCN240290000000006,2011,December,2011-12-01,10385,
LAUCN240290000000006,2011,November,2011-11-01,10567,
LAUCN240290000000006,2011,October,2011-10-01,10714,
LAUCN240290000000006,2011,September,2011-09-01,11224,
LAUCN240290000000006,2011,August,2011-08-01,11329,
LAUCN240290000000006,2011,July,2011-07-01,11497,
LAUCN240290000000006,2011,June,2011-06-01,11344,
LAUCN240290000000006,2011,May,2011-05-01,10685,
LAUCN240290000000006,2011,April,2011-04-01,10418,
LAUCN240290000000006,2011,March,2011-03-01,10639,
LAUCN240290000000006,2011,February,2011-02-01,10370,
LAUCN240290000000006,2011,January,2011-01-01,10260,
