series_id,year,month,date,value,footnotes
LAUCN240290000000004,2014,December,2014-12-01,596,
LAUCN240290000000004,2014,November,2014-11-01,586,
LAUCN240290000000004,2014,October,2014-10-01,563,
LAUCN240290000000004,2014,September,2014-09-01,570,
LAUCN240290000000004,2014,August,2014-08-01,646,
LAUCN240290000000004,2014,July,2014-07-01,673,
LAUCN240290000000004,2014,June,2014-06-01,655,
LAUCN240290000000004,2014,May,2014-05-01,611,
LAUCN240290000000004,2014,April,2014-04-01,607,
LAUCN240290000000004,2014,March,2014-03-01,749,
LAUCN240290000000004,2014,February,2014-02-01,840,
LAUCN240290000000004,2014,January,2014-01-01,816,
LAUCN240290000000004,2013,December,2013-12-01,649,
LAUCN240290000000004,2013,November,2013-11-01,631,
LAUCN240290000000004,2013,October,2013-10-01,642,
LAUCN240290000000004,2013,September,2013-09-01,668,
LAUCN240290000000004,2013,August,2013-08-01,732,
LAUCN240290000000004,2013,July,2013-07-01,761,
LAUCN240290000000004,2013,June,2013-06-01,800,
LAUCN240290000000004,2013,May,2013-05-01,738,
LAUCN240290000000004,2013,April,2013-04-01,727,
LAUCN240290000000004,2013,March,2013-03-01,823,
LAUCN240290000000004,2013,February,2013-02-01,883,
LAUCN240290000000004,2013,January,2013-01-01,908,
LAUCN240290000000004,2012,December,2012-12-01,736,
LAUCN240290000000004,2012,November,2012-11-01,712,
LAUCN240290000000004,2012,October,2012-10-01,714,
LAUCN240290000000004,2012,September,2012-09-01,705,
LAUCN240290000000004,2012,August,2012-08-01,785,
LAUCN240290000000004,2012,July,2012-07-01,840,
LAUCN240290000000004,2012,June,2012-06-01,834,
LAUCN240290000000004,2012,May,2012-05-01,763,
LAUCN240290000000004,2012,April,2012-04-01,764,
LAUCN240290000000004,2012,March,2012-03-01,870,
LAUCN240290000000004,2012,February,2012-02-01,957,
LAUCN240290000000004,2012,January,2012-01-01,977,
LAUCN240290000000004,2011,December,2011-12-01,806,
LAUCN240290000000004,2011,November,2011-11-01,782,
LAUCN240290000000004,2011,October,2011-10-01,822,
LAUCN240290000000004,2011,September,2011-09-01,840,
LAUCN240290000000004,2011,August,2011-08-01,894,
LAUCN240290000000004,2011,July,2011-07-01,899,
LAUCN240290000000004,2011,June,2011-06-01,921,
LAUCN240290000000004,2011,May,2011-05-01,839,
LAUCN240290000000004,2011,April,2011-04-01,817,
LAUCN240290000000004,2011,March,2011-03-01,890,
LAUCN240290000000004,2011,February,2011-02-01,986,
LAUCN240290000000004,2011,January,2011-01-01,1033,
