series_id,year,month,date,value,footnotes
LAUCN240310000000005,2014,December,2014-12-01,527565,
LAUCN240310000000005,2014,November,2014-11-01,526670,
LAUCN240310000000005,2014,October,2014-10-01,527093,
LAUCN240310000000005,2014,September,2014-09-01,522090,
LAUCN240310000000005,2014,August,2014-08-01,525087,
LAUCN240310000000005,2014,July,2014-07-01,529711,
LAUCN240310000000005,2014,June,2014-06-01,527223,
LAUCN240310000000005,2014,May,2014-05-01,522955,
LAUCN240310000000005,2014,April,2014-04-01,520513,
LAUCN240310000000005,2014,March,2014-03-01,521279,
LAUCN240310000000005,2014,February,2014-02-01,518567,
LAUCN240310000000005,2014,January,2014-01-01,521756,
LAUCN240310000000005,2013,December,2013-12-01,520299,
LAUCN240310000000005,2013,November,2013-11-01,519331,
LAUCN240310000000005,2013,October,2013-10-01,516594,
LAUCN240310000000005,2013,September,2013-09-01,519416,
LAUCN240310000000005,2013,August,2013-08-01,521398,
LAUCN240310000000005,2013,July,2013-07-01,526429,
LAUCN240310000000005,2013,June,2013-06-01,521574,
LAUCN240310000000005,2013,May,2013-05-01,519132,
LAUCN240310000000005,2013,April,2013-04-01,517484,
LAUCN240310000000005,2013,March,2013-03-01,515427,
LAUCN240310000000005,2013,February,2013-02-01,514301,
LAUCN240310000000005,2013,January,2013-01-01,517987,
LAUCN240310000000005,2012,December,2012-12-01,519687,
LAUCN240310000000005,2012,November,2012-11-01,518666,
LAUCN240310000000005,2012,October,2012-10-01,519962,
LAUCN240310000000005,2012,September,2012-09-01,515194,
LAUCN240310000000005,2012,August,2012-08-01,515810,
LAUCN240310000000005,2012,July,2012-07-01,521208,
LAUCN240310000000005,2012,June,2012-06-01,516473,
LAUCN240310000000005,2012,May,2012-05-01,512362,
LAUCN240310000000005,2012,April,2012-04-01,509741,
LAUCN240310000000005,2012,March,2012-03-01,510625,
LAUCN240310000000005,2012,February,2012-02-01,507393,
LAUCN240310000000005,2012,January,2012-01-01,508722,
LAUCN240310000000005,2011,December,2011-12-01,512283,
LAUCN240310000000005,2011,November,2011-11-01,512235,
LAUCN240310000000005,2011,October,2011-10-01,512043,
LAUCN240310000000005,2011,September,2011-09-01,507028,
LAUCN240310000000005,2011,August,2011-08-01,507687,
LAUCN240310000000005,2011,July,2011-07-01,514164,
LAUCN240310000000005,2011,June,2011-06-01,508817,
LAUCN240310000000005,2011,May,2011-05-01,507565,
LAUCN240310000000005,2011,April,2011-04-01,507781,
LAUCN240310000000005,2011,March,2011-03-01,507950,
LAUCN240310000000005,2011,February,2011-02-01,504276,
LAUCN240310000000005,2011,January,2011-01-01,506447,
