series_id,year,month,date,value,footnotes
LAUCN240310000000004,2014,December,2014-12-01,20412,
LAUCN240310000000004,2014,November,2014-11-01,22180,
LAUCN240310000000004,2014,October,2014-10-01,22798,
LAUCN240310000000004,2014,September,2014-09-01,23098,
LAUCN240310000000004,2014,August,2014-08-01,24949,
LAUCN240310000000004,2014,July,2014-07-01,26238,
LAUCN240310000000004,2014,June,2014-06-01,25977,
LAUCN240310000000004,2014,May,2014-05-01,23890,
LAUCN240310000000004,2014,April,2014-04-01,21471,
LAUCN240310000000004,2014,March,2014-03-01,24876,
LAUCN240310000000004,2014,February,2014-02-01,24702,
LAUCN240310000000004,2014,January,2014-01-01,24120,
LAUCN240310000000004,2013,December,2013-12-01,21942,
LAUCN240310000000004,2013,November,2013-11-01,23839,
LAUCN240310000000004,2013,October,2013-10-01,27143,
LAUCN240310000000004,2013,September,2013-09-01,26309,
LAUCN240310000000004,2013,August,2013-08-01,27073,
LAUCN240310000000004,2013,July,2013-07-01,28654,
LAUCN240310000000004,2013,June,2013-06-01,30964,
LAUCN240310000000004,2013,May,2013-05-01,28151,
LAUCN240310000000004,2013,April,2013-04-01,25742,
LAUCN240310000000004,2013,March,2013-03-01,27517,
LAUCN240310000000004,2013,February,2013-02-01,28146,
LAUCN240310000000004,2013,January,2013-01-01,28870,
LAUCN240310000000004,2012,December,2012-12-01,26359,
LAUCN240310000000004,2012,November,2012-11-01,26068,
LAUCN240310000000004,2012,October,2012-10-01,27101,
LAUCN240310000000004,2012,September,2012-09-01,26680,
LAUCN240310000000004,2012,August,2012-08-01,28574,
LAUCN240310000000004,2012,July,2012-07-01,29573,
LAUCN240310000000004,2012,June,2012-06-01,29929,
LAUCN240310000000004,2012,May,2012-05-01,27506,
LAUCN240310000000004,2012,April,2012-04-01,25984,
LAUCN240310000000004,2012,March,2012-03-01,28077,
LAUCN240310000000004,2012,February,2012-02-01,28712,
LAUCN240310000000004,2012,January,2012-01-01,28370,
LAUCN240310000000004,2011,December,2011-12-01,26080,
LAUCN240310000000004,2011,November,2011-11-01,26106,
LAUCN240310000000004,2011,October,2011-10-01,28478,
LAUCN240310000000004,2011,September,2011-09-01,29313,
LAUCN240310000000004,2011,August,2011-08-01,29324,
LAUCN240310000000004,2011,July,2011-07-01,29943,
LAUCN240310000000004,2011,June,2011-06-01,31360,
LAUCN240310000000004,2011,May,2011-05-01,28429,
LAUCN240310000000004,2011,April,2011-04-01,26799,
LAUCN240310000000004,2011,March,2011-03-01,28242,
LAUCN240310000000004,2011,February,2011-02-01,28596,
LAUCN240310000000004,2011,January,2011-01-01,29430,
