series_id,year,month,date,value,footnotes
LAUCN240330000000005,2014,December,2014-12-01,463028,
LAUCN240330000000005,2014,November,2014-11-01,463880,
LAUCN240330000000005,2014,October,2014-10-01,464288,
LAUCN240330000000005,2014,September,2014-09-01,460841,
LAUCN240330000000005,2014,August,2014-08-01,458554,
LAUCN240330000000005,2014,July,2014-07-01,465608,
LAUCN240330000000005,2014,June,2014-06-01,461324,
LAUCN240330000000005,2014,May,2014-05-01,459506,
LAUCN240330000000005,2014,April,2014-04-01,458019,
LAUCN240330000000005,2014,March,2014-03-01,458924,
LAUCN240330000000005,2014,February,2014-02-01,456038,
LAUCN240330000000005,2014,January,2014-01-01,452520,
LAUCN240330000000005,2013,December,2013-12-01,455138,
LAUCN240330000000005,2013,November,2013-11-01,456330,
LAUCN240330000000005,2013,October,2013-10-01,454129,
LAUCN240330000000005,2013,September,2013-09-01,454384,
LAUCN240330000000005,2013,August,2013-08-01,453629,
LAUCN240330000000005,2013,July,2013-07-01,460612,
LAUCN240330000000005,2013,June,2013-06-01,455478,
LAUCN240330000000005,2013,May,2013-05-01,456242,
LAUCN240330000000005,2013,April,2013-04-01,456357,
LAUCN240330000000005,2013,March,2013-03-01,455402,
LAUCN240330000000005,2013,February,2013-02-01,452536,
LAUCN240330000000005,2013,January,2013-01-01,449026,
LAUCN240330000000005,2012,December,2012-12-01,454955,
LAUCN240330000000005,2012,November,2012-11-01,455671,
LAUCN240330000000005,2012,October,2012-10-01,457577,
LAUCN240330000000005,2012,September,2012-09-01,452313,
LAUCN240330000000005,2012,August,2012-08-01,449274,
LAUCN240330000000005,2012,July,2012-07-01,455102,
LAUCN240330000000005,2012,June,2012-06-01,450073,
LAUCN240330000000005,2012,May,2012-05-01,450606,
LAUCN240330000000005,2012,April,2012-04-01,450667,
LAUCN240330000000005,2012,March,2012-03-01,452069,
LAUCN240330000000005,2012,February,2012-02-01,447310,
LAUCN240330000000005,2012,January,2012-01-01,443715,
LAUCN240330000000005,2011,December,2011-12-01,449469,
LAUCN240330000000005,2011,November,2011-11-01,449569,
LAUCN240330000000005,2011,October,2011-10-01,449531,
LAUCN240330000000005,2011,September,2011-09-01,446189,
LAUCN240330000000005,2011,August,2011-08-01,446997,
LAUCN240330000000005,2011,July,2011-07-01,450984,
LAUCN240330000000005,2011,June,2011-06-01,446468,
LAUCN240330000000005,2011,May,2011-05-01,446365,
LAUCN240330000000005,2011,April,2011-04-01,446817,
LAUCN240330000000005,2011,March,2011-03-01,448819,
LAUCN240330000000005,2011,February,2011-02-01,444120,
LAUCN240330000000005,2011,January,2011-01-01,441958,
