series_id,year,month,date,value,footnotes
LAUCN240330000000006,2014,December,2014-12-01,488207,
LAUCN240330000000006,2014,November,2014-11-01,490569,
LAUCN240330000000006,2014,October,2014-10-01,491783,
LAUCN240330000000006,2014,September,2014-09-01,488681,
LAUCN240330000000006,2014,August,2014-08-01,489265,
LAUCN240330000000006,2014,July,2014-07-01,497715,
LAUCN240330000000006,2014,June,2014-06-01,492251,
LAUCN240330000000006,2014,May,2014-05-01,488684,
LAUCN240330000000006,2014,April,2014-04-01,485337,
LAUCN240330000000006,2014,March,2014-03-01,489742,
LAUCN240330000000006,2014,February,2014-02-01,487412,
LAUCN240330000000006,2014,January,2014-01-01,483433,
LAUCN240330000000006,2013,December,2013-12-01,484095,
LAUCN240330000000006,2013,November,2013-11-01,487257,
LAUCN240330000000006,2013,October,2013-10-01,490318,
LAUCN240330000000006,2013,September,2013-09-01,486760,
LAUCN240330000000006,2013,August,2013-08-01,487185,
LAUCN240330000000006,2013,July,2013-07-01,495899,
LAUCN240330000000006,2013,June,2013-06-01,491864,
LAUCN240330000000006,2013,May,2013-05-01,489828,
LAUCN240330000000006,2013,April,2013-04-01,488612,
LAUCN240330000000006,2013,March,2013-03-01,489479,
LAUCN240330000000006,2013,February,2013-02-01,487735,
LAUCN240330000000006,2013,January,2013-01-01,485475,
LAUCN240330000000006,2012,December,2012-12-01,488626,
LAUCN240330000000006,2012,November,2012-11-01,488940,
LAUCN240330000000006,2012,October,2012-10-01,491939,
LAUCN240330000000006,2012,September,2012-09-01,485860,
LAUCN240330000000006,2012,August,2012-08-01,484938,
LAUCN240330000000006,2012,July,2012-07-01,492514,
LAUCN240330000000006,2012,June,2012-06-01,486907,
LAUCN240330000000006,2012,May,2012-05-01,484991,
LAUCN240330000000006,2012,April,2012-04-01,483584,
LAUCN240330000000006,2012,March,2012-03-01,487492,
LAUCN240330000000006,2012,February,2012-02-01,484123,
LAUCN240330000000006,2012,January,2012-01-01,479987,
LAUCN240330000000006,2011,December,2011-12-01,483875,
LAUCN240330000000006,2011,November,2011-11-01,483975,
LAUCN240330000000006,2011,October,2011-10-01,485859,
LAUCN240330000000006,2011,September,2011-09-01,483082,
LAUCN240330000000006,2011,August,2011-08-01,484639,
LAUCN240330000000006,2011,July,2011-07-01,489318,
LAUCN240330000000006,2011,June,2011-06-01,484999,
LAUCN240330000000006,2011,May,2011-05-01,481809,
LAUCN240330000000006,2011,April,2011-04-01,480965,
LAUCN240330000000006,2011,March,2011-03-01,484702,
LAUCN240330000000006,2011,February,2011-02-01,480718,
LAUCN240330000000006,2011,January,2011-01-01,478994,
