series_id,year,month,date,value,footnotes
LAUCN240330000000004,2014,December,2014-12-01,25179,
LAUCN240330000000004,2014,November,2014-11-01,26689,
LAUCN240330000000004,2014,October,2014-10-01,27495,
LAUCN240330000000004,2014,September,2014-09-01,27840,
LAUCN240330000000004,2014,August,2014-08-01,30711,
LAUCN240330000000004,2014,July,2014-07-01,32107,
LAUCN240330000000004,2014,June,2014-06-01,30927,
LAUCN240330000000004,2014,May,2014-05-01,29178,
LAUCN240330000000004,2014,April,2014-04-01,27318,
LAUCN240330000000004,2014,March,2014-03-01,30818,
LAUCN240330000000004,2014,February,2014-02-01,31374,
LAUCN240330000000004,2014,January,2014-01-01,30913,
LAUCN240330000000004,2013,December,2013-12-01,28957,
LAUCN240330000000004,2013,November,2013-11-01,30927,
LAUCN240330000000004,2013,October,2013-10-01,36189,
LAUCN240330000000004,2013,September,2013-09-01,32376,
LAUCN240330000000004,2013,August,2013-08-01,33556,
LAUCN240330000000004,2013,July,2013-07-01,35287,
LAUCN240330000000004,2013,June,2013-06-01,36386,
LAUCN240330000000004,2013,May,2013-05-01,33586,
LAUCN240330000000004,2013,April,2013-04-01,32255,
LAUCN240330000000004,2013,March,2013-03-01,34077,
LAUCN240330000000004,2013,February,2013-02-01,35199,
LAUCN240330000000004,2013,January,2013-01-01,36449,
LAUCN240330000000004,2012,December,2012-12-01,33671,
LAUCN240330000000004,2012,November,2012-11-01,33269,
LAUCN240330000000004,2012,October,2012-10-01,34362,
LAUCN240330000000004,2012,September,2012-09-01,33547,
LAUCN240330000000004,2012,August,2012-08-01,35664,
LAUCN240330000000004,2012,July,2012-07-01,37412,
LAUCN240330000000004,2012,June,2012-06-01,36834,
LAUCN240330000000004,2012,May,2012-05-01,34385,
LAUCN240330000000004,2012,April,2012-04-01,32917,
LAUCN240330000000004,2012,March,2012-03-01,35423,
LAUCN240330000000004,2012,February,2012-02-01,36813,
LAUCN240330000000004,2012,January,2012-01-01,36272,
LAUCN240330000000004,2011,December,2011-12-01,34406,
LAUCN240330000000004,2011,November,2011-11-01,34406,
LAUCN240330000000004,2011,October,2011-10-01,36328,
LAUCN240330000000004,2011,September,2011-09-01,36893,
LAUCN240330000000004,2011,August,2011-08-01,37642,
LAUCN240330000000004,2011,July,2011-07-01,38334,
LAUCN240330000000004,2011,June,2011-06-01,38531,
LAUCN240330000000004,2011,May,2011-05-01,35444,
LAUCN240330000000004,2011,April,2011-04-01,34148,
LAUCN240330000000004,2011,March,2011-03-01,35883,
LAUCN240330000000004,2011,February,2011-02-01,36598,
LAUCN240330000000004,2011,January,2011-01-01,37036,
