series_id,year,month,date,value,footnotes
LAUCN240350000000005,2014,December,2014-12-01,25133,
LAUCN240350000000005,2014,November,2014-11-01,25324,
LAUCN240350000000005,2014,October,2014-10-01,25526,
LAUCN240350000000005,2014,September,2014-09-01,25436,
LAUCN240350000000005,2014,August,2014-08-01,25391,
LAUCN240350000000005,2014,July,2014-07-01,25589,
LAUCN240350000000005,2014,June,2014-06-01,25415,
LAUCN240350000000005,2014,May,2014-05-01,24969,
LAUCN240350000000005,2014,April,2014-04-01,25091,
LAUCN240350000000005,2014,March,2014-03-01,25176,
LAUCN240350000000005,2014,February,2014-02-01,24778,
LAUCN240350000000005,2014,January,2014-01-01,24678,
LAUCN240350000000005,2013,December,2013-12-01,24944,
LAUCN240350000000005,2013,November,2013-11-01,25005,
LAUCN240350000000005,2013,October,2013-10-01,25012,
LAUCN240350000000005,2013,September,2013-09-01,25271,
LAUCN240350000000005,2013,August,2013-08-01,25266,
LAUCN240350000000005,2013,July,2013-07-01,25638,
LAUCN240350000000005,2013,June,2013-06-01,25488,
LAUCN240350000000005,2013,May,2013-05-01,24976,
LAUCN240350000000005,2013,April,2013-04-01,24940,
LAUCN240350000000005,2013,March,2013-03-01,24981,
LAUCN240350000000005,2013,February,2013-02-01,24676,
LAUCN240350000000005,2013,January,2013-01-01,24522,
LAUCN240350000000005,2012,December,2012-12-01,25097,
LAUCN240350000000005,2012,November,2012-11-01,25189,
LAUCN240350000000005,2012,October,2012-10-01,25314,
LAUCN240350000000005,2012,September,2012-09-01,25546,
LAUCN240350000000005,2012,August,2012-08-01,25307,
LAUCN240350000000005,2012,July,2012-07-01,25950,
LAUCN240350000000005,2012,June,2012-06-01,25821,
LAUCN240350000000005,2012,May,2012-05-01,24975,
LAUCN240350000000005,2012,April,2012-04-01,24781,
LAUCN240350000000005,2012,March,2012-03-01,24928,
LAUCN240350000000005,2012,February,2012-02-01,24558,
LAUCN240350000000005,2012,January,2012-01-01,24329,
LAUCN240350000000005,2011,December,2011-12-01,24937,
LAUCN240350000000005,2011,November,2011-11-01,25044,
LAUCN240350000000005,2011,October,2011-10-01,25062,
LAUCN240350000000005,2011,September,2011-09-01,25165,
LAUCN240350000000005,2011,August,2011-08-01,25059,
LAUCN240350000000005,2011,July,2011-07-01,25293,
LAUCN240350000000005,2011,June,2011-06-01,25168,
LAUCN240350000000005,2011,May,2011-05-01,24658,
LAUCN240350000000005,2011,April,2011-04-01,24456,
LAUCN240350000000005,2011,March,2011-03-01,24650,
LAUCN240350000000005,2011,February,2011-02-01,24249,
LAUCN240350000000005,2011,January,2011-01-01,24131,
