series_id,year,month,date,value,footnotes
LAUCN240350000000006,2014,December,2014-12-01,26318,
LAUCN240350000000006,2014,November,2014-11-01,26565,
LAUCN240350000000006,2014,October,2014-10-01,26738,
LAUCN240350000000006,2014,September,2014-09-01,26638,
LAUCN240350000000006,2014,August,2014-08-01,26773,
LAUCN240350000000006,2014,July,2014-07-01,27013,
LAUCN240350000000006,2014,June,2014-06-01,26784,
LAUCN240350000000006,2014,May,2014-05-01,26256,
LAUCN240350000000006,2014,April,2014-04-01,26322,
LAUCN240350000000006,2014,March,2014-03-01,26663,
LAUCN240350000000006,2014,February,2014-02-01,26276,
LAUCN240350000000006,2014,January,2014-01-01,26148,
LAUCN240350000000006,2013,December,2013-12-01,26223,
LAUCN240350000000006,2013,November,2013-11-01,26370,
LAUCN240350000000006,2013,October,2013-10-01,26413,
LAUCN240350000000006,2013,September,2013-09-01,26695,
LAUCN240350000000006,2013,August,2013-08-01,26828,
LAUCN240350000000006,2013,July,2013-07-01,27269,
LAUCN240350000000006,2013,June,2013-06-01,27210,
LAUCN240350000000006,2013,May,2013-05-01,26572,
LAUCN240350000000006,2013,April,2013-04-01,26442,
LAUCN240350000000006,2013,March,2013-03-01,26643,
LAUCN240350000000006,2013,February,2013-02-01,26395,
LAUCN240350000000006,2013,January,2013-01-01,26309,
LAUCN240350000000006,2012,December,2012-12-01,26643,
LAUCN240350000000006,2012,November,2012-11-01,26709,
LAUCN240350000000006,2012,October,2012-10-01,26825,
LAUCN240350000000006,2012,September,2012-09-01,27086,
LAUCN240350000000006,2012,August,2012-08-01,26992,
LAUCN240350000000006,2012,July,2012-07-01,27719,
LAUCN240350000000006,2012,June,2012-06-01,27610,
LAUCN240350000000006,2012,May,2012-05-01,26589,
LAUCN240350000000006,2012,April,2012-04-01,26378,
LAUCN240350000000006,2012,March,2012-03-01,26719,
LAUCN240350000000006,2012,February,2012-02-01,26436,
LAUCN240350000000006,2012,January,2012-01-01,26200,
LAUCN240350000000006,2011,December,2011-12-01,26657,
LAUCN240350000000006,2011,November,2011-11-01,26754,
LAUCN240350000000006,2011,October,2011-10-01,26802,
LAUCN240350000000006,2011,September,2011-09-01,26912,
LAUCN240350000000006,2011,August,2011-08-01,26903,
LAUCN240350000000006,2011,July,2011-07-01,27203,
LAUCN240350000000006,2011,June,2011-06-01,27061,
LAUCN240350000000006,2011,May,2011-05-01,26395,
LAUCN240350000000006,2011,April,2011-04-01,26148,
LAUCN240350000000006,2011,March,2011-03-01,26550,
LAUCN240350000000006,2011,February,2011-02-01,26229,
LAUCN240350000000006,2011,January,2011-01-01,26109,
