series_id,year,month,date,value,footnotes
LAUCN240350000000004,2014,December,2014-12-01,1185,
LAUCN240350000000004,2014,November,2014-11-01,1241,
LAUCN240350000000004,2014,October,2014-10-01,1212,
LAUCN240350000000004,2014,September,2014-09-01,1202,
LAUCN240350000000004,2014,August,2014-08-01,1382,
LAUCN240350000000004,2014,July,2014-07-01,1424,
LAUCN240350000000004,2014,June,2014-06-01,1369,
LAUCN240350000000004,2014,May,2014-05-01,1287,
LAUCN240350000000004,2014,April,2014-04-01,1231,
LAUCN240350000000004,2014,March,2014-03-01,1487,
LAUCN240350000000004,2014,February,2014-02-01,1498,
LAUCN240350000000004,2014,January,2014-01-01,1470,
LAUCN240350000000004,2013,December,2013-12-01,1279,
LAUCN240350000000004,2013,November,2013-11-01,1365,
LAUCN240350000000004,2013,October,2013-10-01,1401,
LAUCN240350000000004,2013,September,2013-09-01,1424,
LAUCN240350000000004,2013,August,2013-08-01,1562,
LAUCN240350000000004,2013,July,2013-07-01,1631,
LAUCN240350000000004,2013,June,2013-06-01,1722,
LAUCN240350000000004,2013,May,2013-05-01,1596,
LAUCN240350000000004,2013,April,2013-04-01,1502,
LAUCN240350000000004,2013,March,2013-03-01,1662,
LAUCN240350000000004,2013,February,2013-02-01,1719,
LAUCN240350000000004,2013,January,2013-01-01,1787,
LAUCN240350000000004,2012,December,2012-12-01,1546,
LAUCN240350000000004,2012,November,2012-11-01,1520,
LAUCN240350000000004,2012,October,2012-10-01,1511,
LAUCN240350000000004,2012,September,2012-09-01,1540,
LAUCN240350000000004,2012,August,2012-08-01,1685,
LAUCN240350000000004,2012,July,2012-07-01,1769,
LAUCN240350000000004,2012,June,2012-06-01,1789,
LAUCN240350000000004,2012,May,2012-05-01,1614,
LAUCN240350000000004,2012,April,2012-04-01,1597,
LAUCN240350000000004,2012,March,2012-03-01,1791,
LAUCN240350000000004,2012,February,2012-02-01,1878,
LAUCN240350000000004,2012,January,2012-01-01,1871,
LAUCN240350000000004,2011,December,2011-12-01,1720,
LAUCN240350000000004,2011,November,2011-11-01,1710,
LAUCN240350000000004,2011,October,2011-10-01,1740,
LAUCN240350000000004,2011,September,2011-09-01,1747,
LAUCN240350000000004,2011,August,2011-08-01,1844,
LAUCN240350000000004,2011,July,2011-07-01,1910,
LAUCN240350000000004,2011,June,2011-06-01,1893,
LAUCN240350000000004,2011,May,2011-05-01,1737,
LAUCN240350000000004,2011,April,2011-04-01,1692,
LAUCN240350000000004,2011,March,2011-03-01,1900,
LAUCN240350000000004,2011,February,2011-02-01,1980,
LAUCN240350000000004,2011,January,2011-01-01,1978,
