series_id,year,month,date,value,footnotes
LAUCN240390000000005,2014,December,2014-12-01,7970,
LAUCN240390000000005,2014,November,2014-11-01,8165,
LAUCN240390000000005,2014,October,2014-10-01,8510,
LAUCN240390000000005,2014,September,2014-09-01,8868,
LAUCN240390000000005,2014,August,2014-08-01,9109,
LAUCN240390000000005,2014,July,2014-07-01,9288,
LAUCN240390000000005,2014,June,2014-06-01,9038,
LAUCN240390000000005,2014,May,2014-05-01,8477,
LAUCN240390000000005,2014,April,2014-04-01,8231,
LAUCN240390000000005,2014,March,2014-03-01,8201,
LAUCN240390000000005,2014,February,2014-02-01,7922,
LAUCN240390000000005,2014,January,2014-01-01,7791,
LAUCN240390000000005,2013,December,2013-12-01,8149,
LAUCN240390000000005,2013,November,2013-11-01,8237,
LAUCN240390000000005,2013,October,2013-10-01,8510,
LAUCN240390000000005,2013,September,2013-09-01,9025,
LAUCN240390000000005,2013,August,2013-08-01,9324,
LAUCN240390000000005,2013,July,2013-07-01,9590,
LAUCN240390000000005,2013,June,2013-06-01,9357,
LAUCN240390000000005,2013,May,2013-05-01,8684,
LAUCN240390000000005,2013,April,2013-04-01,8400,
LAUCN240390000000005,2013,March,2013-03-01,8211,
LAUCN240390000000005,2013,February,2013-02-01,7951,
LAUCN240390000000005,2013,January,2013-01-01,7781,
LAUCN240390000000005,2012,December,2012-12-01,8141,
LAUCN240390000000005,2012,November,2012-11-01,8292,
LAUCN240390000000005,2012,October,2012-10-01,8589,
LAUCN240390000000005,2012,September,2012-09-01,9203,
LAUCN240390000000005,2012,August,2012-08-01,9396,
LAUCN240390000000005,2012,July,2012-07-01,9891,
LAUCN240390000000005,2012,June,2012-06-01,9686,
LAUCN240390000000005,2012,May,2012-05-01,8715,
LAUCN240390000000005,2012,April,2012-04-01,8347,
LAUCN240390000000005,2012,March,2012-03-01,8239,
LAUCN240390000000005,2012,February,2012-02-01,7933,
LAUCN240390000000005,2012,January,2012-01-01,7729,
LAUCN240390000000005,2011,December,2011-12-01,8216,
LAUCN240390000000005,2011,November,2011-11-01,8389,
LAUCN240390000000005,2011,October,2011-10-01,8648,
LAUCN240390000000005,2011,September,2011-09-01,9251,
LAUCN240390000000005,2011,August,2011-08-01,9464,
LAUCN240390000000005,2011,July,2011-07-01,9640,
LAUCN240390000000005,2011,June,2011-06-01,9486,
LAUCN240390000000005,2011,May,2011-05-01,8760,
LAUCN240390000000005,2011,April,2011-04-01,8333,
LAUCN240390000000005,2011,March,2011-03-01,8396,
LAUCN240390000000005,2011,February,2011-02-01,8141,
LAUCN240390000000005,2011,January,2011-01-01,8009,
