series_id,year,month,date,value,footnotes
LAUCN240390000000006,2014,December,2014-12-01,8770,
LAUCN240390000000006,2014,November,2014-11-01,8957,
LAUCN240390000000006,2014,October,2014-10-01,9287,
LAUCN240390000000006,2014,September,2014-09-01,9643,
LAUCN240390000000006,2014,August,2014-08-01,9991,
LAUCN240390000000006,2014,July,2014-07-01,10217,
LAUCN240390000000006,2014,June,2014-06-01,9936,
LAUCN240390000000006,2014,May,2014-05-01,9306,
LAUCN240390000000006,2014,April,2014-04-01,9033,
LAUCN240390000000006,2014,March,2014-03-01,9148,
LAUCN240390000000006,2014,February,2014-02-01,8927,
LAUCN240390000000006,2014,January,2014-01-01,8779,
LAUCN240390000000006,2013,December,2013-12-01,9031,
LAUCN240390000000006,2013,November,2013-11-01,9184,
LAUCN240390000000006,2013,October,2013-10-01,9455,
LAUCN240390000000006,2013,September,2013-09-01,9946,
LAUCN240390000000006,2013,August,2013-08-01,10319,
LAUCN240390000000006,2013,July,2013-07-01,10640,
LAUCN240390000000006,2013,June,2013-06-01,10462,
LAUCN240390000000006,2013,May,2013-05-01,9683,
LAUCN240390000000006,2013,April,2013-04-01,9409,
LAUCN240390000000006,2013,March,2013-03-01,9321,
LAUCN240390000000006,2013,February,2013-02-01,9124,
LAUCN240390000000006,2013,January,2013-01-01,8998,
LAUCN240390000000006,2012,December,2012-12-01,9203,
LAUCN240390000000006,2012,November,2012-11-01,9322,
LAUCN240390000000006,2012,October,2012-10-01,9587,
LAUCN240390000000006,2012,September,2012-09-01,10195,
LAUCN240390000000006,2012,August,2012-08-01,10439,
LAUCN240390000000006,2012,July,2012-07-01,10994,
LAUCN240390000000006,2012,June,2012-06-01,10814,
LAUCN240390000000006,2012,May,2012-05-01,9751,
LAUCN240390000000006,2012,April,2012-04-01,9401,
LAUCN240390000000006,2012,March,2012-03-01,9406,
LAUCN240390000000006,2012,February,2012-02-01,9173,
LAUCN240390000000006,2012,January,2012-01-01,8925,
LAUCN240390000000006,2011,December,2011-12-01,9279,
LAUCN240390000000006,2011,November,2011-11-01,9416,
LAUCN240390000000006,2011,October,2011-10-01,9717,
LAUCN240390000000006,2011,September,2011-09-01,10337,
LAUCN240390000000006,2011,August,2011-08-01,10622,
LAUCN240390000000006,2011,July,2011-07-01,10846,
LAUCN240390000000006,2011,June,2011-06-01,10732,
LAUCN240390000000006,2011,May,2011-05-01,9898,
LAUCN240390000000006,2011,April,2011-04-01,9463,
LAUCN240390000000006,2011,March,2011-03-01,9617,
LAUCN240390000000006,2011,February,2011-02-01,9429,
LAUCN240390000000006,2011,January,2011-01-01,9313,
