series_id,year,month,date,value,footnotes
LAUCN240390000000004,2014,December,2014-12-01,800,
LAUCN240390000000004,2014,November,2014-11-01,792,
LAUCN240390000000004,2014,October,2014-10-01,777,
LAUCN240390000000004,2014,September,2014-09-01,775,
LAUCN240390000000004,2014,August,2014-08-01,882,
LAUCN240390000000004,2014,July,2014-07-01,929,
LAUCN240390000000004,2014,June,2014-06-01,898,
LAUCN240390000000004,2014,May,2014-05-01,829,
LAUCN240390000000004,2014,April,2014-04-01,802,
LAUCN240390000000004,2014,March,2014-03-01,947,
LAUCN240390000000004,2014,February,2014-02-01,1005,
LAUCN240390000000004,2014,January,2014-01-01,988,
LAUCN240390000000004,2013,December,2013-12-01,882,
LAUCN240390000000004,2013,November,2013-11-01,947,
LAUCN240390000000004,2013,October,2013-10-01,945,
LAUCN240390000000004,2013,September,2013-09-01,921,
LAUCN240390000000004,2013,August,2013-08-01,995,
LAUCN240390000000004,2013,July,2013-07-01,1050,
LAUCN240390000000004,2013,June,2013-06-01,1105,
LAUCN240390000000004,2013,May,2013-05-01,999,
LAUCN240390000000004,2013,April,2013-04-01,1009,
LAUCN240390000000004,2013,March,2013-03-01,1110,
LAUCN240390000000004,2013,February,2013-02-01,1173,
LAUCN240390000000004,2013,January,2013-01-01,1217,
LAUCN240390000000004,2012,December,2012-12-01,1062,
LAUCN240390000000004,2012,November,2012-11-01,1030,
LAUCN240390000000004,2012,October,2012-10-01,998,
LAUCN240390000000004,2012,September,2012-09-01,992,
LAUCN240390000000004,2012,August,2012-08-01,1043,
LAUCN240390000000004,2012,July,2012-07-01,1103,
LAUCN240390000000004,2012,June,2012-06-01,1128,
LAUCN240390000000004,2012,May,2012-05-01,1036,
LAUCN240390000000004,2012,April,2012-04-01,1054,
LAUCN240390000000004,2012,March,2012-03-01,1167,
LAUCN240390000000004,2012,February,2012-02-01,1240,
LAUCN240390000000004,2012,January,2012-01-01,1196,
LAUCN240390000000004,2011,December,2011-12-01,1063,
LAUCN240390000000004,2011,November,2011-11-01,1027,
LAUCN240390000000004,2011,October,2011-10-01,1069,
LAUCN240390000000004,2011,September,2011-09-01,1086,
LAUCN240390000000004,2011,August,2011-08-01,1158,
LAUCN240390000000004,2011,July,2011-07-01,1206,
LAUCN240390000000004,2011,June,2011-06-01,1246,
LAUCN240390000000004,2011,May,2011-05-01,1138,
LAUCN240390000000004,2011,April,2011-04-01,1130,
LAUCN240390000000004,2011,March,2011-03-01,1221,
LAUCN240390000000004,2011,February,2011-02-01,1288,
LAUCN240390000000004,2011,January,2011-01-01,1304,
