series_id,year,month,date,value,footnotes
LAUCN240370000000005,2014,December,2014-12-01,51249,
LAUCN240370000000005,2014,November,2014-11-01,51468,
LAUCN240370000000005,2014,October,2014-10-01,51716,
LAUCN240370000000005,2014,September,2014-09-01,51378,
LAUCN240370000000005,2014,August,2014-08-01,51617,
LAUCN240370000000005,2014,July,2014-07-01,52103,
LAUCN240370000000005,2014,June,2014-06-01,51946,
LAUCN240370000000005,2014,May,2014-05-01,51510,
LAUCN240370000000005,2014,April,2014-04-01,51360,
LAUCN240370000000005,2014,March,2014-03-01,51693,
LAUCN240370000000005,2014,February,2014-02-01,51312,
LAUCN240370000000005,2014,January,2014-01-01,51190,
LAUCN240370000000005,2013,December,2013-12-01,51188,
LAUCN240370000000005,2013,November,2013-11-01,51285,
LAUCN240370000000005,2013,October,2013-10-01,51018,
LAUCN240370000000005,2013,September,2013-09-01,51192,
LAUCN240370000000005,2013,August,2013-08-01,51343,
LAUCN240370000000005,2013,July,2013-07-01,51868,
LAUCN240370000000005,2013,June,2013-06-01,51790,
LAUCN240370000000005,2013,May,2013-05-01,51321,
LAUCN240370000000005,2013,April,2013-04-01,51259,
LAUCN240370000000005,2013,March,2013-03-01,51344,
LAUCN240370000000005,2013,February,2013-02-01,51091,
LAUCN240370000000005,2013,January,2013-01-01,51023,
LAUCN240370000000005,2012,December,2012-12-01,51278,
LAUCN240370000000005,2012,November,2012-11-01,51421,
LAUCN240370000000005,2012,October,2012-10-01,51435,
LAUCN240370000000005,2012,September,2012-09-01,51349,
LAUCN240370000000005,2012,August,2012-08-01,51324,
LAUCN240370000000005,2012,July,2012-07-01,52047,
LAUCN240370000000005,2012,June,2012-06-01,51987,
LAUCN240370000000005,2012,May,2012-05-01,51060,
LAUCN240370000000005,2012,April,2012-04-01,51123,
LAUCN240370000000005,2012,March,2012-03-01,51328,
LAUCN240370000000005,2012,February,2012-02-01,50767,
LAUCN240370000000005,2012,January,2012-01-01,50751,
LAUCN240370000000005,2011,December,2011-12-01,51103,
LAUCN240370000000005,2011,November,2011-11-01,51181,
LAUCN240370000000005,2011,October,2011-10-01,51061,
LAUCN240370000000005,2011,September,2011-09-01,50653,
LAUCN240370000000005,2011,August,2011-08-01,50921,
LAUCN240370000000005,2011,July,2011-07-01,51215,
LAUCN240370000000005,2011,June,2011-06-01,51387,
LAUCN240370000000005,2011,May,2011-05-01,50676,
LAUCN240370000000005,2011,April,2011-04-01,50494,
LAUCN240370000000005,2011,March,2011-03-01,50996,
LAUCN240370000000005,2011,February,2011-02-01,50552,
LAUCN240370000000005,2011,January,2011-01-01,50434,
