series_id,year,month,date,value,footnotes
LAUCN240370000000006,2014,December,2014-12-01,53659,
LAUCN240370000000006,2014,November,2014-11-01,54067,
LAUCN240370000000006,2014,October,2014-10-01,54392,
LAUCN240370000000006,2014,September,2014-09-01,54075,
LAUCN240370000000006,2014,August,2014-08-01,54809,
LAUCN240370000000006,2014,July,2014-07-01,55476,
LAUCN240370000000006,2014,June,2014-06-01,55071,
LAUCN240370000000006,2014,May,2014-05-01,54362,
LAUCN240370000000006,2014,April,2014-04-01,53987,
LAUCN240370000000006,2014,March,2014-03-01,54700,
LAUCN240370000000006,2014,February,2014-02-01,54345,
LAUCN240370000000006,2014,January,2014-01-01,54160,
LAUCN240370000000006,2013,December,2013-12-01,53778,
LAUCN240370000000006,2013,November,2013-11-01,54107,
LAUCN240370000000006,2013,October,2013-10-01,54110,
LAUCN240370000000006,2013,September,2013-09-01,54275,
LAUCN240370000000006,2013,August,2013-08-01,54776,
LAUCN240370000000006,2013,July,2013-07-01,55483,
LAUCN240370000000006,2013,June,2013-06-01,55483,
LAUCN240370000000006,2013,May,2013-05-01,54690,
LAUCN240370000000006,2013,April,2013-04-01,54344,
LAUCN240370000000006,2013,March,2013-03-01,54693,
LAUCN240370000000006,2013,February,2013-02-01,54523,
LAUCN240370000000006,2013,January,2013-01-01,54497,
LAUCN240370000000006,2012,December,2012-12-01,54414,
LAUCN240370000000006,2012,November,2012-11-01,54502,
LAUCN240370000000006,2012,October,2012-10-01,54638,
LAUCN240370000000006,2012,September,2012-09-01,54499,
LAUCN240370000000006,2012,August,2012-08-01,54878,
LAUCN240370000000006,2012,July,2012-07-01,55801,
LAUCN240370000000006,2012,June,2012-06-01,55768,
LAUCN240370000000006,2012,May,2012-05-01,54378,
LAUCN240370000000006,2012,April,2012-04-01,54236,
LAUCN240370000000006,2012,March,2012-03-01,54733,
LAUCN240370000000006,2012,February,2012-02-01,54179,
LAUCN240370000000006,2012,January,2012-01-01,54148,
LAUCN240370000000006,2011,December,2011-12-01,54177,
LAUCN240370000000006,2011,November,2011-11-01,54280,
LAUCN240370000000006,2011,October,2011-10-01,54393,
LAUCN240370000000006,2011,September,2011-09-01,54124,
LAUCN240370000000006,2011,August,2011-08-01,54677,
LAUCN240370000000006,2011,July,2011-07-01,55047,
LAUCN240370000000006,2011,June,2011-06-01,55153,
LAUCN240370000000006,2011,May,2011-05-01,54053,
LAUCN240370000000006,2011,April,2011-04-01,53713,
LAUCN240370000000006,2011,March,2011-03-01,54387,
LAUCN240370000000006,2011,February,2011-02-01,54039,
LAUCN240370000000006,2011,January,2011-01-01,54031,
