series_id,year,month,date,value,footnotes
LAUCN240370000000004,2014,December,2014-12-01,2410,
LAUCN240370000000004,2014,November,2014-11-01,2599,
LAUCN240370000000004,2014,October,2014-10-01,2676,
LAUCN240370000000004,2014,September,2014-09-01,2697,
LAUCN240370000000004,2014,August,2014-08-01,3192,
LAUCN240370000000004,2014,July,2014-07-01,3373,
LAUCN240370000000004,2014,June,2014-06-01,3125,
LAUCN240370000000004,2014,May,2014-05-01,2852,
LAUCN240370000000004,2014,April,2014-04-01,2627,
LAUCN240370000000004,2014,March,2014-03-01,3007,
LAUCN240370000000004,2014,February,2014-02-01,3033,
LAUCN240370000000004,2014,January,2014-01-01,2970,
LAUCN240370000000004,2013,December,2013-12-01,2590,
LAUCN240370000000004,2013,November,2013-11-01,2822,
LAUCN240370000000004,2013,October,2013-10-01,3092,
LAUCN240370000000004,2013,September,2013-09-01,3083,
LAUCN240370000000004,2013,August,2013-08-01,3433,
LAUCN240370000000004,2013,July,2013-07-01,3615,
LAUCN240370000000004,2013,June,2013-06-01,3693,
LAUCN240370000000004,2013,May,2013-05-01,3369,
LAUCN240370000000004,2013,April,2013-04-01,3085,
LAUCN240370000000004,2013,March,2013-03-01,3349,
LAUCN240370000000004,2013,February,2013-02-01,3432,
LAUCN240370000000004,2013,January,2013-01-01,3474,
LAUCN240370000000004,2012,December,2012-12-01,3136,
LAUCN240370000000004,2012,November,2012-11-01,3081,
LAUCN240370000000004,2012,October,2012-10-01,3203,
LAUCN240370000000004,2012,September,2012-09-01,3150,
LAUCN240370000000004,2012,August,2012-08-01,3554,
LAUCN240370000000004,2012,July,2012-07-01,3754,
LAUCN240370000000004,2012,June,2012-06-01,3781,
LAUCN240370000000004,2012,May,2012-05-01,3318,
LAUCN240370000000004,2012,April,2012-04-01,3113,
LAUCN240370000000004,2012,March,2012-03-01,3405,
LAUCN240370000000004,2012,February,2012-02-01,3412,
LAUCN240370000000004,2012,January,2012-01-01,3397,
LAUCN240370000000004,2011,December,2011-12-01,3074,
LAUCN240370000000004,2011,November,2011-11-01,3099,
LAUCN240370000000004,2011,October,2011-10-01,3332,
LAUCN240370000000004,2011,September,2011-09-01,3471,
LAUCN240370000000004,2011,August,2011-08-01,3756,
LAUCN240370000000004,2011,July,2011-07-01,3832,
LAUCN240370000000004,2011,June,2011-06-01,3766,
LAUCN240370000000004,2011,May,2011-05-01,3377,
LAUCN240370000000004,2011,April,2011-04-01,3219,
LAUCN240370000000004,2011,March,2011-03-01,3391,
LAUCN240370000000004,2011,February,2011-02-01,3487,
LAUCN240370000000004,2011,January,2011-01-01,3597,
