series_id,year,month,date,value,footnotes
LAUCN240410000000005,2014,December,2014-12-01,17873,
LAUCN240410000000005,2014,November,2014-11-01,18032,
LAUCN240410000000005,2014,October,2014-10-01,18360,
LAUCN240410000000005,2014,September,2014-09-01,18442,
LAUCN240410000000005,2014,August,2014-08-01,18706,
LAUCN240410000000005,2014,July,2014-07-01,19069,
LAUCN240410000000005,2014,June,2014-06-01,18691,
LAUCN240410000000005,2014,May,2014-05-01,17993,
LAUCN240410000000005,2014,April,2014-04-01,17831,
LAUCN240410000000005,2014,March,2014-03-01,17996,
LAUCN240410000000005,2014,February,2014-02-01,17744,
LAUCN240410000000005,2014,January,2014-01-01,17798,
LAUCN240410000000005,2013,December,2013-12-01,17963,
LAUCN240410000000005,2013,November,2013-11-01,17999,
LAUCN240410000000005,2013,October,2013-10-01,18088,
LAUCN240410000000005,2013,September,2013-09-01,18348,
LAUCN240410000000005,2013,August,2013-08-01,18552,
LAUCN240410000000005,2013,July,2013-07-01,18820,
LAUCN240410000000005,2013,June,2013-06-01,18685,
LAUCN240410000000005,2013,May,2013-05-01,17999,
LAUCN240410000000005,2013,April,2013-04-01,17677,
LAUCN240410000000005,2013,March,2013-03-01,17486,
LAUCN240410000000005,2013,February,2013-02-01,17377,
LAUCN240410000000005,2013,January,2013-01-01,17400,
LAUCN240410000000005,2012,December,2012-12-01,17895,
LAUCN240410000000005,2012,November,2012-11-01,17926,
LAUCN240410000000005,2012,October,2012-10-01,18190,
LAUCN240410000000005,2012,September,2012-09-01,18452,
LAUCN240410000000005,2012,August,2012-08-01,18573,
LAUCN240410000000005,2012,July,2012-07-01,19168,
LAUCN240410000000005,2012,June,2012-06-01,19059,
LAUCN240410000000005,2012,May,2012-05-01,18104,
LAUCN240410000000005,2012,April,2012-04-01,17711,
LAUCN240410000000005,2012,March,2012-03-01,17493,
LAUCN240410000000005,2012,February,2012-02-01,17266,
LAUCN240410000000005,2012,January,2012-01-01,17290,
LAUCN240410000000005,2011,December,2011-12-01,17720,
LAUCN240410000000005,2011,November,2011-11-01,17937,
LAUCN240410000000005,2011,October,2011-10-01,18062,
LAUCN240410000000005,2011,September,2011-09-01,18231,
LAUCN240410000000005,2011,August,2011-08-01,18453,
LAUCN240410000000005,2011,July,2011-07-01,18692,
LAUCN240410000000005,2011,June,2011-06-01,18732,
LAUCN240410000000005,2011,May,2011-05-01,18147,
LAUCN240410000000005,2011,April,2011-04-01,17809,
LAUCN240410000000005,2011,March,2011-03-01,17655,
LAUCN240410000000005,2011,February,2011-02-01,17396,
LAUCN240410000000005,2011,January,2011-01-01,17379,
