series_id,year,month,date,value,footnotes
LAUCN240410000000006,2014,December,2014-12-01,18871,
LAUCN240410000000006,2014,November,2014-11-01,19006,
LAUCN240410000000006,2014,October,2014-10-01,19278,
LAUCN240410000000006,2014,September,2014-09-01,19348,
LAUCN240410000000006,2014,August,2014-08-01,19687,
LAUCN240410000000006,2014,July,2014-07-01,20100,
LAUCN240410000000006,2014,June,2014-06-01,19743,
LAUCN240410000000006,2014,May,2014-05-01,18987,
LAUCN240410000000006,2014,April,2014-04-01,18788,
LAUCN240410000000006,2014,March,2014-03-01,19172,
LAUCN240410000000006,2014,February,2014-02-01,18958,
LAUCN240410000000006,2014,January,2014-01-01,19016,
LAUCN240410000000006,2013,December,2013-12-01,18983,
LAUCN240410000000006,2013,November,2013-11-01,19054,
LAUCN240410000000006,2013,October,2013-10-01,19145,
LAUCN240410000000006,2013,September,2013-09-01,19448,
LAUCN240410000000006,2013,August,2013-08-01,19692,
LAUCN240410000000006,2013,July,2013-07-01,20047,
LAUCN240410000000006,2013,June,2013-06-01,19999,
LAUCN240410000000006,2013,May,2013-05-01,19240,
LAUCN240410000000006,2013,April,2013-04-01,18896,
LAUCN240410000000006,2013,March,2013-03-01,18871,
LAUCN240410000000006,2013,February,2013-02-01,18873,
LAUCN240410000000006,2013,January,2013-01-01,18959,
LAUCN240410000000006,2012,December,2012-12-01,19268,
LAUCN240410000000006,2012,November,2012-11-01,19198,
LAUCN240410000000006,2012,October,2012-10-01,19453,
LAUCN240410000000006,2012,September,2012-09-01,19692,
LAUCN240410000000006,2012,August,2012-08-01,19922,
LAUCN240410000000006,2012,July,2012-07-01,20576,
LAUCN240410000000006,2012,June,2012-06-01,20451,
LAUCN240410000000006,2012,May,2012-05-01,19411,
LAUCN240410000000006,2012,April,2012-04-01,19003,
LAUCN240410000000006,2012,March,2012-03-01,19009,
LAUCN240410000000006,2012,February,2012-02-01,18869,
LAUCN240410000000006,2012,January,2012-01-01,18890,
LAUCN240410000000006,2011,December,2011-12-01,19135,
LAUCN240410000000006,2011,November,2011-11-01,19273,
LAUCN240410000000006,2011,October,2011-10-01,19423,
LAUCN240410000000006,2011,September,2011-09-01,19617,
LAUCN240410000000006,2011,August,2011-08-01,19849,
LAUCN240410000000006,2011,July,2011-07-01,20094,
LAUCN240410000000006,2011,June,2011-06-01,20220,
LAUCN240410000000006,2011,May,2011-05-01,19517,
LAUCN240410000000006,2011,April,2011-04-01,19202,
LAUCN240410000000006,2011,March,2011-03-01,19251,
LAUCN240410000000006,2011,February,2011-02-01,19068,
LAUCN240410000000006,2011,January,2011-01-01,19064,
