series_id,year,month,date,value,footnotes
LAUCN240410000000004,2014,December,2014-12-01,998,
LAUCN240410000000004,2014,November,2014-11-01,974,
LAUCN240410000000004,2014,October,2014-10-01,918,
LAUCN240410000000004,2014,September,2014-09-01,906,
LAUCN240410000000004,2014,August,2014-08-01,981,
LAUCN240410000000004,2014,July,2014-07-01,1031,
LAUCN240410000000004,2014,June,2014-06-01,1052,
LAUCN240410000000004,2014,May,2014-05-01,994,
LAUCN240410000000004,2014,April,2014-04-01,957,
LAUCN240410000000004,2014,March,2014-03-01,1176,
LAUCN240410000000004,2014,February,2014-02-01,1214,
LAUCN240410000000004,2014,January,2014-01-01,1218,
LAUCN240410000000004,2013,December,2013-12-01,1020,
LAUCN240410000000004,2013,November,2013-11-01,1055,
LAUCN240410000000004,2013,October,2013-10-01,1057,
LAUCN240410000000004,2013,September,2013-09-01,1100,
LAUCN240410000000004,2013,August,2013-08-01,1140,
LAUCN240410000000004,2013,July,2013-07-01,1227,
LAUCN240410000000004,2013,June,2013-06-01,1314,
LAUCN240410000000004,2013,May,2013-05-01,1241,
LAUCN240410000000004,2013,April,2013-04-01,1219,
LAUCN240410000000004,2013,March,2013-03-01,1385,
LAUCN240410000000004,2013,February,2013-02-01,1496,
LAUCN240410000000004,2013,January,2013-01-01,1559,
LAUCN240410000000004,2012,December,2012-12-01,1373,
LAUCN240410000000004,2012,November,2012-11-01,1272,
LAUCN240410000000004,2012,October,2012-10-01,1263,
LAUCN240410000000004,2012,September,2012-09-01,1240,
LAUCN240410000000004,2012,August,2012-08-01,1349,
LAUCN240410000000004,2012,July,2012-07-01,1408,
LAUCN240410000000004,2012,June,2012-06-01,1392,
LAUCN240410000000004,2012,May,2012-05-01,1307,
LAUCN240410000000004,2012,April,2012-04-01,1292,
LAUCN240410000000004,2012,March,2012-03-01,1516,
LAUCN240410000000004,2012,February,2012-02-01,1603,
LAUCN240410000000004,2012,January,2012-01-01,1600,
LAUCN240410000000004,2011,December,2011-12-01,1415,
LAUCN240410000000004,2011,November,2011-11-01,1336,
LAUCN240410000000004,2011,October,2011-10-01,1361,
LAUCN240410000000004,2011,September,2011-09-01,1386,
LAUCN240410000000004,2011,August,2011-08-01,1396,
LAUCN240410000000004,2011,July,2011-07-01,1402,
LAUCN240410000000004,2011,June,2011-06-01,1488,
LAUCN240410000000004,2011,May,2011-05-01,1370,
LAUCN240410000000004,2011,April,2011-04-01,1393,
LAUCN240410000000004,2011,March,2011-03-01,1596,
LAUCN240410000000004,2011,February,2011-02-01,1672,
LAUCN240410000000004,2011,January,2011-01-01,1685,
