series_id,year,month,date,value,footnotes
LAUCN240430000000005,2014,December,2014-12-01,73039,
LAUCN240430000000005,2014,November,2014-11-01,73383,
LAUCN240430000000005,2014,October,2014-10-01,73109,
LAUCN240430000000005,2014,September,2014-09-01,71632,
LAUCN240430000000005,2014,August,2014-08-01,72004,
LAUCN240430000000005,2014,July,2014-07-01,72405,
LAUCN240430000000005,2014,June,2014-06-01,71958,
LAUCN240430000000005,2014,May,2014-05-01,71356,
LAUCN240430000000005,2014,April,2014-04-01,71388,
LAUCN240430000000005,2014,March,2014-03-01,71562,
LAUCN240430000000005,2014,February,2014-02-01,70747,
LAUCN240430000000005,2014,January,2014-01-01,71172,
LAUCN240430000000005,2013,December,2013-12-01,72653,
LAUCN240430000000005,2013,November,2013-11-01,72790,
LAUCN240430000000005,2013,October,2013-10-01,71769,
LAUCN240430000000005,2013,September,2013-09-01,71826,
LAUCN240430000000005,2013,August,2013-08-01,72450,
LAUCN240430000000005,2013,July,2013-07-01,73097,
LAUCN240430000000005,2013,June,2013-06-01,72441,
LAUCN240430000000005,2013,May,2013-05-01,71932,
LAUCN240430000000005,2013,April,2013-04-01,71591,
LAUCN240430000000005,2013,March,2013-03-01,71398,
LAUCN240430000000005,2013,February,2013-02-01,70812,
LAUCN240430000000005,2013,January,2013-01-01,70853,
LAUCN240430000000005,2012,December,2012-12-01,71848,
LAUCN240430000000005,2012,November,2012-11-01,71922,
LAUCN240430000000005,2012,October,2012-10-01,71615,
LAUCN240430000000005,2012,September,2012-09-01,71738,
LAUCN240430000000005,2012,August,2012-08-01,71685,
LAUCN240430000000005,2012,July,2012-07-01,72858,
LAUCN240430000000005,2012,June,2012-06-01,72266,
LAUCN240430000000005,2012,May,2012-05-01,71365,
LAUCN240430000000005,2012,April,2012-04-01,71164,
LAUCN240430000000005,2012,March,2012-03-01,70969,
LAUCN240430000000005,2012,February,2012-02-01,69972,
LAUCN240430000000005,2012,January,2012-01-01,69715,
LAUCN240430000000005,2011,December,2011-12-01,71061,
LAUCN240430000000005,2011,November,2011-11-01,71025,
LAUCN240430000000005,2011,October,2011-10-01,70554,
LAUCN240430000000005,2011,September,2011-09-01,70317,
LAUCN240430000000005,2011,August,2011-08-01,70322,
LAUCN240430000000005,2011,July,2011-07-01,70643,
LAUCN240430000000005,2011,June,2011-06-01,70099,
LAUCN240430000000005,2011,May,2011-05-01,69352,
LAUCN240430000000005,2011,April,2011-04-01,68875,
LAUCN240430000000005,2011,March,2011-03-01,69090,
LAUCN240430000000005,2011,February,2011-02-01,68234,
LAUCN240430000000005,2011,January,2011-01-01,68459,
