series_id,year,month,date,value,footnotes
LAUCN240430000000004,2014,December,2014-12-01,4515,
LAUCN240430000000004,2014,November,2014-11-01,4486,
LAUCN240430000000004,2014,October,2014-10-01,4494,
LAUCN240430000000004,2014,September,2014-09-01,4428,
LAUCN240430000000004,2014,August,2014-08-01,4863,
LAUCN240430000000004,2014,July,2014-07-01,5126,
LAUCN240430000000004,2014,June,2014-06-01,5038,
LAUCN240430000000004,2014,May,2014-05-01,4783,
LAUCN240430000000004,2014,April,2014-04-01,4574,
LAUCN240430000000004,2014,March,2014-03-01,5433,
LAUCN240430000000004,2014,February,2014-02-01,5632,
LAUCN240430000000004,2014,January,2014-01-01,5404,
LAUCN240430000000004,2013,December,2013-12-01,4971,
LAUCN240430000000004,2013,November,2013-11-01,5070,
LAUCN240430000000004,2013,October,2013-10-01,5370,
LAUCN240430000000004,2013,September,2013-09-01,5234,
LAUCN240430000000004,2013,August,2013-08-01,5478,
LAUCN240430000000004,2013,July,2013-07-01,5823,
LAUCN240430000000004,2013,June,2013-06-01,6040,
LAUCN240430000000004,2013,May,2013-05-01,5649,
LAUCN240430000000004,2013,April,2013-04-01,5576,
LAUCN240430000000004,2013,March,2013-03-01,6161,
LAUCN240430000000004,2013,February,2013-02-01,6369,
LAUCN240430000000004,2013,January,2013-01-01,6483,
LAUCN240430000000004,2012,December,2012-12-01,5726,
LAUCN240430000000004,2012,November,2012-11-01,5561,
LAUCN240430000000004,2012,October,2012-10-01,5632,
LAUCN240430000000004,2012,September,2012-09-01,5499,
LAUCN240430000000004,2012,August,2012-08-01,5903,
LAUCN240430000000004,2012,July,2012-07-01,6261,
LAUCN240430000000004,2012,June,2012-06-01,6150,
LAUCN240430000000004,2012,May,2012-05-01,5854,
LAUCN240430000000004,2012,April,2012-04-01,5651,
LAUCN240430000000004,2012,March,2012-03-01,6356,
LAUCN240430000000004,2012,February,2012-02-01,6717,
LAUCN240430000000004,2012,January,2012-01-01,6540,
LAUCN240430000000004,2011,December,2011-12-01,6024,
LAUCN240430000000004,2011,November,2011-11-01,5900,
LAUCN240430000000004,2011,October,2011-10-01,6148,
LAUCN240430000000004,2011,September,2011-09-01,6339,
LAUCN240430000000004,2011,August,2011-08-01,6598,
LAUCN240430000000004,2011,July,2011-07-01,6908,
LAUCN240430000000004,2011,June,2011-06-01,7029,
LAUCN240430000000004,2011,May,2011-05-01,6640,
LAUCN240430000000004,2011,April,2011-04-01,6627,
LAUCN240430000000004,2011,March,2011-03-01,7331,
LAUCN240430000000004,2011,February,2011-02-01,7644,
LAUCN240430000000004,2011,January,2011-01-01,7611,
