series_id,year,month,date,value,footnotes
LAUCN240470000000005,2014,December,2014-12-01,21948,
LAUCN240470000000005,2014,November,2014-11-01,22240,
LAUCN240470000000005,2014,October,2014-10-01,22950,
LAUCN240470000000005,2014,September,2014-09-01,23614,
LAUCN240470000000005,2014,August,2014-08-01,24477,
LAUCN240470000000005,2014,July,2014-07-01,24914,
LAUCN240470000000005,2014,June,2014-06-01,24368,
LAUCN240470000000005,2014,May,2014-05-01,23192,
LAUCN240470000000005,2014,April,2014-04-01,22268,
LAUCN240470000000005,2014,March,2014-03-01,21891,
LAUCN240470000000005,2014,February,2014-02-01,21398,
LAUCN240470000000005,2014,January,2014-01-01,21244,
LAUCN240470000000005,2013,December,2013-12-01,21916,
LAUCN240470000000005,2013,November,2013-11-01,22084,
LAUCN240470000000005,2013,October,2013-10-01,22607,
LAUCN240470000000005,2013,September,2013-09-01,23644,
LAUCN240470000000005,2013,August,2013-08-01,24504,
LAUCN240470000000005,2013,July,2013-07-01,24926,
LAUCN240470000000005,2013,June,2013-06-01,24442,
LAUCN240470000000005,2013,May,2013-05-01,23131,
LAUCN240470000000005,2013,April,2013-04-01,22278,
LAUCN240470000000005,2013,March,2013-03-01,21632,
LAUCN240470000000005,2013,February,2013-02-01,21177,
LAUCN240470000000005,2013,January,2013-01-01,21007,
LAUCN240470000000005,2012,December,2012-12-01,21901,
LAUCN240470000000005,2012,November,2012-11-01,22151,
LAUCN240470000000005,2012,October,2012-10-01,22804,
LAUCN240470000000005,2012,September,2012-09-01,23806,
LAUCN240470000000005,2012,August,2012-08-01,24570,
LAUCN240470000000005,2012,July,2012-07-01,25220,
LAUCN240470000000005,2012,June,2012-06-01,24777,
LAUCN240470000000005,2012,May,2012-05-01,23109,
LAUCN240470000000005,2012,April,2012-04-01,22189,
LAUCN240470000000005,2012,March,2012-03-01,21650,
LAUCN240470000000005,2012,February,2012-02-01,21077,
LAUCN240470000000005,2012,January,2012-01-01,20843,
LAUCN240470000000005,2011,December,2011-12-01,21690,
LAUCN240470000000005,2011,November,2011-11-01,22037,
LAUCN240470000000005,2011,October,2011-10-01,22570,
LAUCN240470000000005,2011,September,2011-09-01,23616,
LAUCN240470000000005,2011,August,2011-08-01,24407,
LAUCN240470000000005,2011,July,2011-07-01,24711,
LAUCN240470000000005,2011,June,2011-06-01,24338,
LAUCN240470000000005,2011,May,2011-05-01,23039,
LAUCN240470000000005,2011,April,2011-04-01,22107,
LAUCN240470000000005,2011,March,2011-03-01,21872,
LAUCN240470000000005,2011,February,2011-02-01,21390,
LAUCN240470000000005,2011,January,2011-01-01,21195,
