date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,30476,34081,3605,10.6
2011-02-01,30579,34141,3562,10.4
2011-03-01,31056,34321,3265,9.5
2011-04-01,31207,34116,2909,8.5
2011-05-01,31272,34214,2942,8.6
2011-06-01,30834,34092,3258,9.6
2011-07-01,30944,34107,3163,9.3
2011-08-01,30878,33924,3046,9.0
2011-09-01,31217,34134,2917,8.5
2011-10-01,31395,34264,2869,8.4
2011-11-01,31358,34096,2738,8.0
2011-12-01,31147,34102,2955,8.7
2012-01-01,30306,33677,3371,10.0
2012-02-01,30939,34264,3325,9.7
2012-03-01,31202,34326,3124,9.1
2012-04-01,31062,33864,2802,8.3
2012-05-01,31171,34045,2874,8.4
2012-06-01,30895,34079,3184,9.3
2012-07-01,30798,33933,3135,9.2
2012-08-01,30607,33551,2944,8.8
2012-09-01,31044,33714,2670,7.9
2012-10-01,31250,34021,2771,8.1
2012-11-01,31135,33878,2743,8.1
2012-12-01,31148,34073,2925,8.6
2013-01-01,30257,33731,3474,10.3
2013-02-01,30605,33873,3268,9.6
2013-03-01,30796,33849,3053,9.0
2013-04-01,31159,33938,2779,8.2
2013-05-01,31395,34208,2813,8.2
2013-06-01,31061,34077,3016,8.9
2013-07-01,30727,33680,2953,8.8
2013-08-01,30367,33175,2808,8.5
2013-09-01,31193,33771,2578,7.6
2013-10-01,31312,33849,2537,7.5
2013-11-01,31294,33859,2565,7.6
2013-12-01,31140,33717,2577,7.6
2014-01-01,30348,33323,2975,8.9
2014-02-01,30523,33540,3017,9.0
2014-03-01,30871,33645,2774,8.2
2014-04-01,31221,33530,2309,6.9
2014-05-01,31286,33661,2375,7.1
2014-06-01,31011,33606,2595,7.7
2014-07-01,31432,34076,2644,7.8
2014-08-01,30681,33150,2469,7.4
2014-09-01,30983,33175,2192,6.6
2014-10-01,31234,33427,2193,6.6
2014-11-01,31089,33273,2184,6.6
2014-12-01,30963,33277,2314,7.0
