date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,266616,285936,19320,6.8
2011-02-01,266840,285699,18859,6.6
2011-03-01,270110,288575,18465,6.4
2011-04-01,270995,288252,17257,6.0
2011-05-01,271372,289320,17948,6.2
2011-06-01,271660,291468,19808,6.8
2011-07-01,272752,292461,19709,6.7
2011-08-01,271488,290921,19433,6.7
2011-09-01,271175,289776,18601,6.4
2011-10-01,273766,291789,18023,6.2
2011-11-01,274264,290988,16724,5.7
2011-12-01,274514,291305,16791,5.8
2012-01-01,272507,290540,18033,6.2
2012-02-01,273230,291519,18289,6.3
2012-03-01,275833,293518,17685,6.0
2012-04-01,276225,292451,16226,5.5
2012-05-01,276972,294067,17095,5.8
2012-06-01,277870,296711,18841,6.3
2012-07-01,279280,298193,18913,6.3
2012-08-01,277202,295606,18404,6.2
2012-09-01,277982,294616,16634,5.6
2012-10-01,280570,297395,16825,5.7
2012-11-01,279581,295866,16285,5.5
2012-12-01,279812,296464,16652,5.6
2013-01-01,278102,296445,18343,6.2
2013-02-01,278600,296463,17863,6.0
2013-03-01,280750,298050,17300,5.8
2013-04-01,281441,297522,16081,5.4
2013-05-01,282029,299314,17285,5.8
2013-06-01,283199,302066,18867,6.2
2013-07-01,284063,302248,18185,6.0
2013-08-01,281472,298900,17428,5.8
2013-09-01,281185,297576,16391,5.5
2013-10-01,280827,297374,16547,5.6
2013-11-01,281612,296837,15225,5.1
2013-12-01,281333,295552,14219,4.8
2014-01-01,279283,294898,15615,5.3
2014-02-01,279766,295699,15933,5.4
2014-03-01,282485,298306,15821,5.3
2014-04-01,284285,297912,13627,4.6
2014-05-01,284562,299425,14863,5.0
2014-06-01,286029,301931,15902,5.3
2014-07-01,287012,303503,16491,5.4
2014-08-01,285143,301083,15940,5.3
2014-09-01,284635,298784,14149,4.7
2014-10-01,287217,301242,14025,4.7
2014-11-01,286685,300515,13830,4.6
2014-12-01,286540,299546,13006,4.3
