date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,395589,431375,35786,8.3
2011-02-01,395887,431103,35216,8.2
2011-03-01,400707,434809,34102,7.8
2011-04-01,402123,434145,32022,7.4
2011-05-01,402618,435653,33035,7.6
2011-06-01,402854,438633,35779,8.2
2011-07-01,404467,439920,35453,8.1
2011-08-01,402636,437349,34713,7.9
2011-09-01,402125,435606,33481,7.7
2011-10-01,406078,438786,32708,7.5
2011-11-01,406829,437753,30924,7.1
2011-12-01,407259,438139,30880,7.0
2012-01-01,402780,436087,33307,7.6
2012-02-01,403802,437227,33425,7.6
2012-03-01,407609,439646,32037,7.3
2012-04-01,408260,437886,29626,6.8
2012-05-01,409298,440205,30907,7.0
2012-06-01,410314,444355,34041,7.7
2012-07-01,412413,446953,34540,7.7
2012-08-01,409511,442802,33291,7.5
2012-09-01,410599,441548,30949,7.0
2012-10-01,414598,445948,31350,7.0
2012-11-01,413132,443542,30410,6.9
2012-12-01,413517,444449,30932,7.0
2013-01-01,409605,443831,34226,7.7
2013-02-01,410321,443390,33069,7.5
2013-03-01,413459,445300,31841,7.2
2013-04-01,414519,444096,29577,6.7
2013-05-01,415379,446245,30866,6.9
2013-06-01,416936,450042,33106,7.4
2013-07-01,418187,450181,31994,7.1
2013-08-01,414410,444945,30535,6.9
2013-09-01,413976,443217,29241,6.6
2013-10-01,413529,442546,29017,6.6
2013-11-01,414697,442056,27359,6.2
2013-12-01,414294,440151,25857,5.9
2014-01-01,410023,438038,28015,6.4
2014-02-01,410734,439161,28427,6.5
2014-03-01,414675,442835,28160,6.4
2014-04-01,417419,442131,24712,5.6
2014-05-01,417876,444429,26553,6.0
2014-06-01,419897,448216,28319,6.3
2014-07-01,421312,450447,29135,6.5
2014-08-01,418577,446676,28099,6.3
2014-09-01,417808,443135,25327,5.7
2014-10-01,421627,446748,25121,5.6
2014-11-01,420903,445518,24615,5.5
2014-12-01,420756,444108,23352,5.3
