date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,259991,293199,33208,11.3
2011-02-01,260176,292591,32415,11.1
2011-03-01,263387,294938,31551,10.7
2011-04-01,264423,294341,29918,10.2
2011-05-01,264658,295391,30733,10.4
2011-06-01,264551,298061,33510,11.2
2011-07-01,265613,299529,33916,11.3
2011-08-01,264466,297645,33179,11.1
2011-09-01,264095,295059,30964,10.5
2011-10-01,266666,297086,30420,10.2
2011-11-01,267053,295937,28884,9.8
2011-12-01,267495,296100,28605,9.7
2012-01-01,263784,294247,30463,10.4
2012-02-01,264522,294946,30424,10.3
2012-03-01,267056,296548,29492,9.9
2012-04-01,267592,295162,27570,9.3
2012-05-01,268061,296729,28668,9.7
2012-06-01,268204,299613,31409,10.5
2012-07-01,269751,302252,32501,10.8
2012-08-01,267993,299604,31611,10.6
2012-09-01,268610,297704,29094,9.8
2012-10-01,271408,300929,29521,9.8
2012-11-01,270302,299026,28724,9.6
2012-12-01,270596,299832,29236,9.8
2013-01-01,266412,298618,32206,10.8
2013-02-01,267042,297674,30632,10.3
2013-03-01,269175,298577,29402,9.8
2013-04-01,269934,297755,27821,9.3
2013-05-01,270423,298844,28421,9.5
2013-06-01,271157,301964,30807,10.2
2013-07-01,272013,302645,30632,10.1
2013-08-01,269471,298878,29407,9.8
2013-09-01,269164,296627,27463,9.3
2013-10-01,268904,296512,27608,9.3
2013-11-01,269518,295810,26292,8.9
2013-12-01,269248,294277,25029,8.5
2014-01-01,265698,292478,26780,9.2
2014-02-01,266337,292895,26558,9.1
2014-03-01,268900,294916,26016,8.8
2014-04-01,270879,294060,23181,7.9
2014-05-01,271204,295634,24430,8.3
2014-06-01,272261,298257,25996,8.7
2014-07-01,273170,300263,27093,9.0
2014-08-01,271394,297920,26526,8.9
2014-09-01,270950,294050,23100,7.9
2014-10-01,273266,296487,23221,7.8
2014-11-01,272818,296121,23303,7.9
2014-12-01,272816,295354,22538,7.6
