date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,44121,47313,3192,6.7
2011-02-01,44332,47461,3129,6.6
2011-03-01,44793,47886,3093,6.5
2011-04-01,44594,47484,2890,6.1
2011-05-01,44552,47614,3062,6.4
2011-06-01,44573,47939,3366,7.0
2011-07-01,45021,48456,3435,7.1
2011-08-01,44623,47997,3374,7.0
2011-09-01,44540,47699,3159,6.6
2011-10-01,44892,47960,3068,6.4
2011-11-01,44912,47803,2891,6.0
2011-12-01,44890,47748,2858,6.0
2012-01-01,44126,47183,3057,6.5
2012-02-01,44467,47596,3129,6.6
2012-03-01,44929,47967,3038,6.3
2012-04-01,44786,47578,2792,5.9
2012-05-01,44800,47724,2924,6.1
2012-06-01,44776,47962,3186,6.6
2012-07-01,45253,48552,3299,6.8
2012-08-01,44678,47726,3048,6.4
2012-09-01,44983,47740,2757,5.8
2012-10-01,45506,48312,2806,5.8
2012-11-01,45336,48076,2740,5.7
2012-12-01,45264,48068,2804,5.8
2013-01-01,44610,47680,3070,6.4
2013-02-01,44935,47902,2967,6.2
2013-03-01,45203,48087,2884,6.0
2013-04-01,45295,48009,2714,5.7
2013-05-01,45293,48220,2927,6.1
2013-06-01,45232,48408,3176,6.6
2013-07-01,45733,48856,3123,6.4
2013-08-01,45056,47956,2900,6.0
2013-09-01,45132,47829,2697,5.6
2013-10-01,45112,47899,2787,5.8
2013-11-01,45352,47875,2523,5.3
2013-12-01,45236,47586,2350,4.9
2014-01-01,44308,46868,2560,5.5
2014-02-01,44625,47270,2645,5.6
2014-03-01,44901,47543,2642,5.6
2014-04-01,44803,47115,2312,4.9
2014-05-01,44950,47429,2479,5.2
2014-06-01,45145,47809,2664,5.6
2014-07-01,45560,48425,2865,5.9
2014-08-01,44874,47587,2713,5.7
2014-09-01,45086,47434,2348,5.0
2014-10-01,45448,47764,2316,4.8
2014-11-01,45412,47645,2233,4.7
2014-12-01,45326,47459,2133,4.5
